grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/315,RET,Iceland,Office of the National Commissioner of the Icelandic Police,"Skúlagata 21, IS-101 Reykjavik, Iceland",2024/ECRET/01,96660,2024,European Centre for Returns,NA
2024/317,RET,Luxembourg,General Department of Immigration - Ministry for Home Affairs,"BP 752, L-2017, Luxembourg",2024/ECRET/01,29198,2024,European Centre for Returns,NA
2024/318,RET,Hungary,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2024/ECRET/01,8128,2024,European Centre for Returns,NA
2024/319,RET,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/ECRET/01,1571276,2024,European Centre for Returns,NA
2024/320,RET,France,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2024/ECRET/01,330415,2024,European Centre for Returns,NA
2024/321,RET,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2024/ECRET/01,13466,2024,European Centre for Returns,NA
2024/322,RET,Denmark,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2024/ECRET/01,6428,2024,European Centre for Returns,NA
2024/323,RET,Cyprus,Civil Registry and Migration Department (CRMD),"90 Archbishop Makarios,
III Avenue, 1077 Nicosia, Cyprus",2024/ECRET/01,108704,2024,European Centre for Returns,NA
2024/330,RET,Norway,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2024/ECRET/01,34385,2024,European Centre for Returns,NA
2024/333,RET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2024/ECRET/01,53672,2024,European Centre for Returns,NA
2024/334,RET,Bulgaria,Bulgarian Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2024/ECRET/01,4117,2024,European Centre for Returns,NA
2024/337,RET,Germany,Federal Office for Migration and Refugees BAMF,"Frankenstr. 210, 90461 Nürnberg, Germany",2024/ECRET/01,137658,2024,European Centre for Returns,NA
2024/342,RET,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden",2024/ECRET/01,12123,2024,European Centre for Returns,NA
2024/345,RET,Moldova,General Inspectorate for Migration,"124, Stefan cel Mare bd, Chisinau MD-2012, Moldova",2024/ECRET/01,6821.25,2024,European Centre for Returns,NA
2024/346,RET,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania",2024/ECRET/01,13306,2024,European Centre for Returns,NA
2024/353,RET,Switzerland,State Secretariat for Migration,"Operations Center (OPC)
Postfach 314, CH-8058 Zürich-Flughafen, Switzerland",2024/ECRET/01,265207,2024,European Centre for Returns,NA
2024/359,RET,Croatia,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2024/ECRET/01,201677,2024,European Centre for Returns,NA
2024/363,RET,Georgia,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2024/ECRET/01,8554.65,2024,European Centre for Returns,NA
