grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/366,OSD,Netherlands,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague",2024/FOU/01/Heavy Technical Equipment,622035,2024,Technical Equipment,Operational Support Division
2023/35,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2023/ECRET/01,249118.1,2023,European Centre for Returns,European Centre for Returns
2023/93,DMD,Netherlands,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague",2023/DMD/01 Human resources and Light technical equipment,1871505,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/95,DMD,Netherlands,Immigration and Naturalisation Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 16275, 2500 BG The Hague, The Netherlands",2023/DMD/01 Human resources and Light technical equipment,222732,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/106,DMD,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2023/DMD/01 Human resources and Light technical equipment,266846,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/113,DMD,Netherlands,"Transport and Support Service, Ministry for Security and Justice",Turfmarkt 147 | 2511 DP | Den Haag,2023/DMD/01 Human resources and Light technical equipment,519802,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/207,DMD,Netherlands,Royal Marechaussee,"NFPOC (The Netherlands)
Camp New Amsterdam
Dolderseweg 34
3712 BR Huis Ter Heide 
The Netherlands","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1609531.99,2023,Human Resources,Deployment Management Division
2023/208,DMD,Netherlands,Royal Marechaussee,"NFPOC (The Netherlands)
Camp New Amsterdam
Dolderseweg 34
3712 BR Huis Ter Heide 
The Netherlands","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1316998.65,2023,Human Resources,Deployment Management Division
2023/349,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2023/ECRET/01,11163,2023,European Centre for Returns,European Centre for Returns
2023/366,DMD,Netherlands,National Police,"Nieuwe Uitleg 1
Postcode 2514 BP
Den Haag / The Hague
P.O.Box 17107/2595CC
The Netherlands",2023/DMD/01 Human resources and Light technical equipment,287574,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/371,FOU,Netherlands,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague",2023/FOU/01/Heavy Technical Equipment,180085,2023,Technical Equipment,Field Operations Unit
2023/461,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2023/ECRET/01,73960,2023,European Centre for Returns,European Centre for Returns
2022/18,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD",2022/ECRET/01,228058.04,2022,European Centre for Returns,European Centre for Returns
2022/91,DMD,Netherlands,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague , The Netherlands",2022/DMD/01 Human resources and Light technical equipment,1946210,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/96,DMD,Netherlands,Immigration and Naturalisation Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 16275, 2500 BG",2022/DMD/01 Human resources and Light technical equipment,128030,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/109,DMD,Netherlands,"Transport and Support Service, Ministry for Security and Justice","Turfmarkt 147 | 2511 DP | Den Haag, The Netherlands",2022/DMD/01 Human resources and Light technical equipment,250713,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/110,DMD,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD,",2022/ECRET/01,224431,2022,European Centre for Returns,Deployment Management Division
2022/160,DMD,Netherlands,Royal Marechaussee,"NFPOC (The Netherlands)
Camp New Amsterdam
Dolderseweg 34
3712 BR Huis Ter Heide 
The Netherlands 
","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",945973.25,2022,Human Resources,Deployment Management Division
2022/236,FOU,Netherlands,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague, The Netherlands",2022/FOU/01/Heavy Technical Equipment,129519,2022,Technical Equipment,Field Operations Unit
2022/255,DMD,Netherlands,Royal Marechaussee,"NFPOC (The Netherlands)
Camp New Amsterdam
Dolderseweg 34
3712 BR Huis Ter Heide 
The Netherlands 
","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1540044.45,2022,Human Resources,Deployment Management Division
2022/313,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD",2022/ECRET/01,51765,2022,European Centre for Returns,European Centre for Returns
2021/12,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O.Box 164, 2501 CD, The Hague, The Netherlands",2021/ECRet/01,214465.18,2021,European Centre for Returns,European Centre for Returns
2021/30,FDU,Netherlands,Royal Marechaussee,"P.O. Box 906152509 LP The Hague, The Netherlands",2021/FDU/01 Human Resources and light technical equipment,1344037,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/32,FDU,Netherlands,"Transport and Support Service, Ministry for Security and Justice","Turfmarkt 147 | 2511 DP | Den Haag, The Netherlands",2021/FDU/01 Human Resources and light technical equipment,184284,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/54,FSC,Netherlands,Sea Port Police,"Meervelderweg 19, 3888NH Uddel, The Netherlands",2021/FSC/01 Human resources and Light technical equipment,10130,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/56,FSC,Netherlands,Royal Marechaussee,"3769ZK SoesterbergMPC 54APO Box 160, The Netherlands",2021/FSC/01 Human resources and Light technical equipment,120632,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/126,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O.Box 164, 2501 CD, The Hague, The Netherlands",2021/ECRet/01,192147.25,2021,European Centre for Returns,European Centre for Returns
2021/152,FDU,Netherlands,Royal Marechaussee,"P.O. Box 906152509 LP The Hague, The Netherlands",2021/FDU/01/Heavy Technical Equipment,118428,2021,Technical Equipment,Field Deployment Unit
2021/171,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O.Box 164, 2501 CD, The Hague, The Netherlands",2021/ECRet/01,24040,2021,European Centre for Returns,European Centre for Returns
2021/190,FDU,Netherlands,Royal Marechaussee,"P.O. Box 906152509 LP The Hague, The Netherlands",2021/FDU/01/Heavy Technical Equipment,232383,2021,Technical Equipment,Field Deployment Unit
2021/281,DMD,Netherlands,Royal Marechaussee,"P.O. Box 906152509 LP The Hague, The Netherlands","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",627442,2021,Human Resources,Deployment Management Division
2021/293,DMD,Netherlands,Royal Marechaussee,"P.O. Box 906152509 LP The Hague, The Netherlands","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",645433.85,2021,Human Resources,Deployment Management Division
2021/314,DMD,Netherlands,Royal Marechaussee,"P.O. Box 906152509 LP The Hague, The Netherlands","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",1039528.16,2021,Human Resources,Deployment Management Division
2021/322,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O.Box 164, 2501 CD, The Hague, The Netherlands",2021/ECRet/01,125013,2021,European Centre for Returns,European Centre for Returns
2021/390,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O.Box 164, 2501 CD, The Hague, The Netherlands",2021/ECRet/01,9898,2021,European Centre for Returns,European Centre for Returns
