grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2020/28,FDU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2020/FDU/01/Human Resources/Light Technical Technical Equipment,3088412.2,2020,Austria,Technical Equipment & Human Resources,Field Deployment Unit
2020/56,ECRET,Federal Ministry of Interior,"ModecenterstraÃŸe 22, A-1030 Vienna, Austria",2020/ECRET/01 Return Support,849853.74,2020,Austria,European Centre for Returns,European Centre for Returns
2020/75,FSC,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2020/FSC/GA FSC FIMO Deployment,20731,2020,Austria,FIMO Deployment,Frontex Situation Centre
2020/177,ECRET,Federal Ministry of Interior,"ModecenterstraÃŸe 22, A-1030 Vienna, Austria",2020/ECRet/01,256665.18,2020,Austria,European Centre for Returns,European Centre for Returns
2020/258,ECRET,Federal Ministry of Interior,"ModecenterstraÃŸe 22, A-1030 Vienna, Austria",2020/ECRet/01,738054,2020,Austria,European Centre for Returns,European Centre for Returns
2020/331,TF Deploy,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",Financial Support Cat.2,385965,2020,Austria,Support Cat.2,Task Force Deployment Management
2019/15,ECRET,Federal Office for Immigration and Asylum,"ModecenterstraÃŸe 22, A-1030 Vienna, Austria",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,2464034,2019,Austria,FOA,European Centre for Returns
2019/41,FDU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna,Austria",2019/FDU/01 Human Resources,2653756,2019,Austria,Human Resources,Field Deployment Unit
2019/122,FSC,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna,Austria",2019/FSC/GA FSC FIMO Deployment,26677,2019,Austria,FIMO Deployment,Frontex Situation Centre
2019/152,ECRET,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna,Austria",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,1941786,2019,Austria,FOA,European Centre for Returns
2019/244,ECRET,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna,Austria",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,1989838,2019,Austria,FOA,European Centre for Returns
2019/262,ECRET,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna,Austria",2019/ECRet/01 - RECAMAS,420543.52,2019,Austria,European Centre for Returns,European Centre for Returns
2019/324,ECRET,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna,Austria",2019/ECRet/01-FOA-R 2019,1107132,2019,Austria,FOA,European Centre for Returns
2018/11,ORD,Federal Ministry of Interior,"Herrengasse 7, Postfach100, A-1014 Vienna,Austria",2018/ORD/01 Human Resources,2571339,2018,Austria,Human Resources,Operational Response Division
2018/38,FSC,Federal Ministry of Interior,"Herrengasse 7, Postfach100, A-1014 Vienna,Austria",2018/FSC/GA FSC FIMO Deployment,53582,2018,Austria,FIMO Deployment,Frontex Situation Centre
2018/93,RSU,Federal Office for Immigration and Asylum,"ModecenterstraÃŸe 22, A-1030 Vienna, Austria",2018/RSU/01 RO,3030526,2018,Austria,Return Operations,Return Support Unit
2018/155,ECRET,Federal Office for Immigration and Asylum,"ModecenterstraÃŸe 22, A-1030 Vienna, Austria",2018/ECRet/01,1464,2018,Austria,European Centre for Returns,European Centre for Returns
2018/189,ECRET,Federal Office for Immigration and Asylum,"ModecenterstraÃŸe 22, A-1030 Vienna, Austria",2017/RSU/01,1864248.54,2018,Austria,2017/RSU/01,European Centre for Returns
2018/268,ECRET,Federal Office for Immigration and Asylum,"ModecenterstraÃŸe 22, A-1030 Vienna, Austria",2018/ECRet/01-FOA- R 2018 including return and pre-return activities,3355711,2018,Austria,FOA,European Centre for Returns
2018/364,PRU,Federal Ministry of Interior,"Herrengasse 7, Postfach100, A-1014 Vienna,Austria",2018/PRU/07 Rapid Border Intervention Exercise 2018,14599,2018,Austria,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2017/53,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 JRO to Nigeria,228186,2017,Austria,Return Operations,Return Support Unit
2017/62,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,70263,2017,Austria,FOA,Land Borders Sector
2017/63,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,64478,2017,Austria,FOA,Land Borders Sector
2017/122,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/05 JO Triton 2017,37688,2017,Austria,Triton,Sea Border Sector
2017/124,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/02 Focal Points,44995,2017,Austria,Focal Points,Land Borders Sector
2017/150,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 JRO to Nigeria,256205,2017,Austria,Return Operations,Return Support Unit
2017/210,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/06 JO Alexis,21685,2017,Austria,Alexis,Air Border Sector
2017/217,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria","2017/RSU/01 JRO to Kosovo, Georgia, Armenia",153437,2017,Austria,Return Operations,Return Support Unit
2017/218,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 JRO to Russia,76708,2017,Austria,Return Operations,Return Support Unit
2017/221,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/03 Focal Points 2017 Air,5806,2017,Austria,Focal Points,Air Border Sector
2017/223,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,48439,2017,Austria,FOA,Land Borders Sector
2017/225,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,101359,2017,Austria,FOA,Land Borders Sector
2017/271,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/02 Focal Points,80114,2017,Austria,Focal Points,Land Borders Sector
2017/276,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 JRO to Pakistan,57908,2017,Austria,Return Operations,Return Support Unit
2017/278,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/05 JO Triton 2017,49417,2017,Austria,Triton,Sea Border Sector
2017/325,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/07 JO Poseidon 2017,104227,2017,Austria,Poseidon,Sea Border Sector
2017/333,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 JRO to Ukraine and Kyrgyzstan and Afghanistan,7798,2017,Austria,Return Operations,Return Support Unit
2017/350,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,63719,2017,Austria,FOA,Land Borders Sector
2017/360,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/03 JO Poseidon,18637,2017,Austria,Poseidon,Return Support Unit
2017/368,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/07 JO Poseidon 2017,5070,2017,Austria,Poseidon,Sea Border Sector
2017/371,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 JRO to Kosovo,70791,2017,Austria,Return Operations,Return Support Unit
2017/409,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Pakistan,50121,2017,Austria,Return Operations,Return Support Unit
2017/422,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,83912,2017,Austria,FOA,Land Borders Sector
2017/446,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/03 Focal Points 2017 Air,12011,2017,Austria,Focal Points,Air Border Sector
2017/462,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Nigeria,248063,2017,Austria,Return Operations,Return Support Unit
2017/483,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/05 JO Triton 2017,36592,2017,Austria,Triton,Sea Border Sector
2017/487,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/03 Coordination Points,10503,2017,Austria,Coordination Points,Land Borders Sector
2017/516,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,53104,2017,Austria,FOA,Land Borders Sector
2017/543,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/03 JO Poseidon,64200,2017,Austria,Poseidon,Return Support Unit
2017/544,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Pakistan,349104,2017,Austria,Return Operations,Return Support Unit
2017/553,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/06 JO Alexis,16399,2017,Austria,Alexis,Air Border Sector
2017/558,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Armenia&Georgia,126074,2017,Austria,Return Operations,Return Support Unit
2017/578,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/02 Focal Points,43117,2017,Austria,Focal Points,Land Borders Sector
2017/599,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,49306,2017,Austria,FOA,Land Borders Sector
2017/608,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Nigeria,80218,2017,Austria,Return Operations,Return Support Unit
2017/622,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/05 JO Triton 2017,48561,2017,Austria,Triton,Sea Border Sector
2017/655,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/04 JO Focal Points 2017 Air Intermediate Managers,1434,2017,Austria,Focal Points,Air Border Sector
2017/685,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Ukraine,124866,2017,Austria,Return Operations,Return Support Unit
2017/702,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,40746,2017,Austria,FOA,Land Borders Sector
2017/720,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria","2017/RSU/01 RO to Kosovo, Georgia and Albania",132111,2017,Austria,Return Operations,Return Support Unit
2017/733,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,48557,2017,Austria,FOA,Land Borders Sector
2017/758,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Afghanistan and Russia,84337,2017,Austria,Return Operations,Return Support Unit
2017/764,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/11 Vega Children,12979,2017,Austria,VEGA Children,Air Border Sector
2017/804,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/05 JO Triton 2017,116825,2017,Austria,Triton,Sea Border Sector
2017/821,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/02 Focal Points,49265,2017,Austria,Focal Points,Land Borders Sector
2017/829,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Pakistan,143119,2017,Austria,Return Operations,Return Support Unit
2017/854,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Kosovo,80806,2017,Austria,Return Operations,Return Support Unit
2017/858,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/07 JO Poseidon 2017,99146,2017,Austria,Poseidon,Sea Border Sector
2017/869,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,62060,2017,Austria,FOA,Land Borders Sector
2017/886,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Nigeria,298137,2017,Austria,Return Operations,Return Support Unit
2017/891,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,30559,2017,Austria,FOA,Land Borders Sector
2017/917,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/03 Coordination Points,11843,2017,Austria,Coordination Points,Land Borders Sector
2017/950,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/06 Focal Points Sea 2017,7693,2017,Austria,Focal Points,Sea Border Sector
2017/952,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 JRO to Georgia&Armenia,254835,2017,Austria,Return Operations,Return Support Unit
2017/971,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,66308,2017,Austria,FOA,Land Borders Sector
2017/982,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,19902,2017,Austria,FOA,Land Borders Sector
2017/988,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/03 Coordination Points,5232,2017,Austria,Coordination Points,Land Borders Sector
2017/1041,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Kosovo,81555,2017,Austria,Return Operations,Return Support Unit
2017/1053,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/07 JO Poseidon 2017,62811,2017,Austria,Poseidon,Sea Border Sector
2017/1073,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/02 Focal Points,50183,2017,Austria,Focal Points,Land Borders Sector
2017/1075,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Serbia and FYRoMacedonia,80357,2017,Austria,Return Operations,Return Support Unit
2017/1099,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/03 Focal Points 2017 Air,12712,2017,Austria,Focal Points,Air Border Sector
2017/1115,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/06 JO Alexis,18754,2017,Austria,Alexis,Air Border Sector
2017/1165,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Nigeria,267120,2017,Austria,Return Operations,Return Support Unit
2017/1193,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,37369,2017,Austria,FOA,Land Borders Sector
2017/1195,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,19902,2017,Austria,FOA,Land Borders Sector
2017/1218,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/11 Vega Children,9716,2017,Austria,VEGA Children,Air Border Sector
2017/1228,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Georgia and Armenia,144509,2017,Austria,Return Operations,Return Support Unit
2017/1261,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Kosovo,95337,2017,Austria,Return Operations,Return Support Unit
2017/1266,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/03 Focal Points 2017 Air,13650,2017,Austria,Focal Points,Air Border Sector
2017/1269,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/05 JO Triton 2017,31157,2017,Austria,Triton,Sea Border Sector
2017/1291,FSC,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/FSC/01 FSC Support Officer Deployment,10186,2017,Austria,FSC Support Officer Deployment,Frontex Situation Centre
2017/1304,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/03 Coordination Points,18995,2017,Austria,Coordination Points,Land Borders Sector
2017/1306,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Pakistan,361137,2017,Austria,Return Operations,Return Support Unit
2017/1328,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,40817,2017,Austria,FOA,Land Borders Sector
2017/1350,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/03 Coordination Points,6330,2017,Austria,Coordination Points,Land Borders Sector
2017/1351,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,31972,2017,Austria,FOA,Land Borders Sector
2017/1356,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Russia,96272,2017,Austria,Return Operations,Return Support Unit
2017/1360,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/03 JO Poseidon/Readmission,18380,2017,Austria,Poseidon,Return Support Unit
2017/1368,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria","2017/RSU/01 RO to Georgia and Armenia, Nigeria and Gambia",491534,2017,Austria,Return Operations,Return Support Unit
2017/1424,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/05 JO Triton 2017,115556,2017,Austria,Triton,Sea Border Sector
2017/1439,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/03 Focal Points 2017 Air,18252,2017,Austria,Focal Points,Air Border Sector
2017/1458,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,43570,2017,Austria,FOA,Land Borders Sector
2017/1476,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Kosovo and Georgia/Armenia,156503,2017,Austria,Return Operations,Return Support Unit
2017/1487,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Afghanistan,5040,2017,Austria,Return Operations,Return Support Unit
2017/1490,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,79265,2017,Austria,FOA,Land Borders Sector
2017/1494,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/04 JO Focal Points 2017 Air Intermediate Managers,9601,2017,Austria,Focal Points,Air Border Sector
2017/1509,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/07 JO Poseidon 2017,15990,2017,Austria,Poseidon,Sea Border Sector
2017/1515,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/02 Focal Points,107538,2017,Austria,Focal Points,Land Borders Sector
2017/1536,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Ukraine,53158,2017,Austria,Return Operations,Return Support Unit
2017/1543,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to FYROM,64307,2017,Austria,Return Operations,Return Support Unit
2017/1590,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/05 JO Triton 2017,48735,2017,Austria,Triton,Sea Border Sector
2017/1601,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,21785,2017,Austria,FOA,Land Borders Sector
2017/1603,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/03 Focal Points 2017 Air,4751,2017,Austria,Focal Points,Air Border Sector
2017/1628,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,56614,2017,Austria,FOA,Land Borders Sector
2017/1633,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/07 JO Poseidon 2017,38603,2017,Austria,Poseidon,Sea Border Sector
2017/1635,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/03 Coordination Points,5594,2017,Austria,Coordination Points,Land Borders Sector
2017/1655,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Pakistan,329637,2017,Austria,Return Operations,Return Support Unit
2017/1672,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Kosovo,74258,2017,Austria,Return Operations,Return Support Unit
2017/1682,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria","2017/RSU/01 RO to Georgia, Armenia, Nigeria, Gambia",559506,2017,Austria,Return Operations,Return Support Unit
2017/1688,ABS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/ABS/03 Focal Points 2017 Air,5187,2017,Austria,Focal Points,Air Border Sector
2017/1694,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/03 JO Poseidon/Readmission,4040,2017,Austria,Poseidon,Return Support Unit
2017/1725,FSC,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/FSC/02 FSC FIMO Deployment,11159,2017,Austria,FIMO Deployment,Frontex Situation Centre
2017/1742,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Pakistan,55490,2017,Austria,Return Operations,Return Support Unit
2017/1747,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,11314,2017,Austria,FOA,Land Borders Sector
2017/1750,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/01 RO to Afghanistan & Kosovo,445935,2017,Austria,Return Operations,Return Support Unit
2017/1762,RSU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/RSU/03 JO Poseidon/Readmission,10366,2017,Austria,Poseidon,Return Support Unit
2017/1772,FSC,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/FSC/02 FSC FIMO Deployment,14501,2017,Austria,FIMO Deployment,Frontex Situation Centre
2017/1780,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/02 Focal Points,21882,2017,Austria,Focal Points,Land Borders Sector
2017/1803,SBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/SBS/07 JO Poseidon 2017,28575,2017,Austria,Poseidon,Sea Border Sector
2017/1804,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,24995,2017,Austria,FOA,Land Borders Sector
2017/1816,LBS,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2017/LBS/01 FOA,10893,2017,Austria,FOA,Land Borders Sector
