grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2009/202/,RAU,Border Agency,NA,2009/RAU/02 - FISO 2009,24488.64,2009,United Kingdom,- FISO 2009,Risk Analysis Unit
2008/266/,RAU,Foreigners and Borders Service,NA,2008/RAU/06,10671.98,2008,Portugal,2008/RAU/06,Risk Analysis Unit
2008/267/,RAU,Bulgarian Ministry of Interior,NA,2008/RAU/06,8627.2,2008,Bulgaria,2008/RAU/06,Risk Analysis Unit
2008/268/,RAU,"Cyprus Police, Police Headquarters",NA,2008/RAU/06,10155.86,2008,Cyprus,2008/RAU/06,Risk Analysis Unit
2008/269/,RAU,Border Agency,NA,2008/RAU/06,14387.84,2008,United Kingdom,2008/RAU/06,Risk Analysis Unit
2008/327/,RAU,Guardia Costiera,NA,2008/RAU/06,17333.7,2008,Italy,2008/RAU/06,Risk Analysis Unit
