grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2023/78,ECRET,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2023/ECRET/01,24080,2023,Romania,European Centre for Returns,European Centre for Returns
2023/89,ECRET,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2023/ECRET/01,3106,2023,Malta,European Centre for Returns,European Centre for Returns
2023/157,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2023/ECRET/01,11128,2023,Georgia,European Centre for Returns,European Centre for Returns
2023/172,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2023/ECRET/01,8688.4,2023,Albania,European Centre for Returns,European Centre for Returns
2023/223,ECRET,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2023/ECRET/01,6463,2023,Croatia,European Centre for Returns,European Centre for Returns
2023/227,ECRET,Federal Office for Migration and Refugees BAMF,"Frankenstr. 210, 90461 Nürnberg, Germany",2023/ECRET/01,95906,2023,Germany,European Centre for Returns,European Centre for Returns
2023/237,ECRET,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels – Belgium",2023/ECRET/01,209566,2023,Belgium,European Centre for Returns,European Centre for Returns
2023/259,ECRET,Federal Police Regional Office Bad Bramstedt,"Raaberg 6, 24576 Bad Bramstedt",2023/ECRET/01,10566082,2023,Germany,European Centre for Returns,European Centre for Returns
2023/260,ECRET,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/ECRET/01,46092,2023,Poland,European Centre for Returns,European Centre for Returns
2023/261,ECRET,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2023/ECRET/01,9482,2023,Slovenia,European Centre for Returns,European Centre for Returns
2023/266,ECRET,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  Urbanização Cabanas Golfe, nº 1, 2734-506 Barcarena",2023/ECRET/01,4710,2023,Portugal,European Centre for Returns,European Centre for Returns
2023/267,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2023/ECRET/01,13910,2023,Georgia,European Centre for Returns,European Centre for Returns
2023/268,ECRET,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2023/ECRET/01,168815,2023,Finland,European Centre for Returns,European Centre for Returns
2023/269,ECRET,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2023/ECRET/01,923346,2023,France,European Centre for Returns,European Centre for Returns
2023/270,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2023/ECRET/01,10618,2023,Hungary,European Centre for Returns,European Centre for Returns
2023/272,ECRET,Fedasil (Federaal agentschap voor de opvang van asielzoekers),"KARTUIZERSSTRAAT 21, 1000 Brussels – Belgium",2023/ECRET/01,4276,2023,Belgium,European Centre for Returns,European Centre for Returns
