grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2015/934,ABS,Estonia,Police and Border Guard Board,"Parnu mnt 139, 15060 Tallinn, Estonia",2015/ABS/06 JO Alexis 2015,6293,2015,Alexis,Air Border Sector
2015/958,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139, 15060 Tallinn, Estonia",2015/LBS/01 Flexible Operational Activities,21051,2015,Flexible Operational Activities,Land Borders Sector
2015/1095,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139, 15060 Tallinn, Estonia",2015/SBS/07 EPN-Poseidon Sea,113235,2015,Poseidon,Sea Border Sector
2015/1128,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139, 15060 Tallinn, Estonia",2015/LBS/01 Flexible Operational Activities,10426,2015,Flexible Operational Activities,Land Borders Sector
2015/1162,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139, 15060 Tallinn, Estonia",2015/SBS/07 EPN-Poseidon Sea,4232,2015,Poseidon,Sea Border Sector
2015/1229,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139, 15060 Tallinn, Estonia",2015/LBS/01 Flexible Operational Activities,1202,2015,Flexible Operational Activities,Land Borders Sector
2015/1265,FSC,Estonia,Police and Border Guard Board,"Parnu mnt 139, 15060 Tallinn, Estonia",2015/FSC/03 FSC Support Officer Deployment,4883,2015,Frontex Situation Centre,Frontex Situation Centre
2015/1282,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139, 15060 Tallinn, Estonia",2015/LBS/01 Flexible Operational Activities,1202,2015,Flexible Operational Activities,Land Borders Sector
2015/1304,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139, 15060 Tallinn, Estonia",2015/SBS/08 Poseidon Rapid Intervention,54184,2015,Poseidon,Sea Border Sector
2014/66,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/SBS/01 EPN-General- BSRBCC seminars,70554.55,2014,EPN-General- BSRBCC seminars,Sea Border Sector
2014/96,ABS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/ABS/04 Focal Points,2241.65,2014,Focal Points (Air),Air Border Sector
2014/151,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/04 Focal Points Land,10507.4,2014,Focal Points (Land),Land Borders Sector
2014/169,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/LBS/04 Focal Points Land,3020,2014,Focal Points (Land),Land Borders Sector
2014/184,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/SBS/02 JO Poseidon Sea 2013,100381.6,2014,Poseidon,Sea Border Sector
2014/243,ABS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/ABS/06 Alexis,7136.9,2014,Alexis,Air Border Sector
2014/246,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/SBS/P1/06 EPN-Aeneas 2013,206401.65,2014,Aeneas,Sea Border Sector
