grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2021/403,FOU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2021/FDU/01/Heavy Technical Equipment,368889,2021,Croatia,Technical Equipment,Field Operations Unit
2021/412,FSC,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2021/FSC/01 Human resources and Light technical equipment,15880,2021,Croatia,Technical Equipment & Human Resources,Frontex Situation Centre
2021/433,DMD,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2021/FDU/01 Human resources and Light technical equipment,32775,2021,Croatia,Technical Equipment & Human Resources,Deployment Management Division
2021/434,FSC,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2021/FSC/01 Human resources and Light technical equipment,15784,2021,Croatia,Technical Equipment & Human Resources,Frontex Situation Centre
2020/58,FDU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2020/FDU/01/Human Resources/Light Technical Technical Equipment,369150,2020,Croatia,Technical Equipment & Human Resources,Field Deployment Unit
2020/81,FDU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2020/FDU/01/Heavy Technical Equipment,641219,2020,Croatia,Technical Equipment,Field Deployment Unit
2020/198,FSC,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2020/FSC/GA FSC FIMO Deployment,42151,2020,Croatia,FIMO Deployment,Frontex Situation Centre
2020/199,FSC,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2020/FSC/GA FSC FIMO Deployment,42504,2020,Croatia,FIMO Deployment,Frontex Situation Centre
2020/205,FDU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2020/FDU/01/Human Resources/Heavy Technical Technical Equipment,191311,2020,Croatia,Technical Equipment & Human Resources,Field Deployment Unit
2020/235,FDU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2020/FDU/01 Technical Equipment,358438,2020,Croatia,Technical Equipment,Field Deployment Unit
2019/2,ECRET,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,10227,2019,Croatia,FOA,European Centre for Returns
2019/48,FDU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2019/FDU/01 Human Resources,517348,2019,Croatia,Human Resources,Field Deployment Unit
2019/72,FDU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2019/FDU/01 Technical Equipment,344395,2019,Croatia,Technical Equipment,Field Deployment Unit
2019/156,FSC,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2018/FSC/GA FSC FIMO Deployment,20464,2019,Croatia,FIMO Deployment,Frontex Situation Centre
2019/255,FSC,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2019/FSC/GA FSC FIMO Deployment,120098,2019,Croatia,FIMO Deployment,Frontex Situation Centre
2019/265,FDU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2019/FDU/01 Technical Equipment,359643.17,2019,Croatia,Technical Equipment,Field Deployment Unit
2019/296,TRU,"Police Academy, Ministry of Interior","Avenija Gojka Suska 1, 10000 Zagreb, Croatia",2019/CFP/TRU/01Together on EU-southeastern external border: efficiency with high ethical standards - land border surveillance training with implication on fundamental rights. An EU and non-EU training initiative.,55500,2019,Croatia,on EU-southeastern external border: efficiency with high ethical standards - land border surveillance training with implication on fundamental rights. An EU and non-EU training initiative.,Training Unit
2019/360,NA,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2020/FDU/01/Human Resources/Light Technical Technical Equipment,8020,2019,Croatia,Technical Equipment & Human Resources,NA
2018/54,ORD,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb,Croatia",2018/ORD/01 Human Resources,460898,2018,Croatia,Human Resources,Operational Response Division
2018/80,ORD,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb,Croatia",2018/ORD/01 Technical Equipment,296787,2018,Croatia,Technical Equipment,Operational Response Division
2018/206,ECRET,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb,Croatia",2017/RSU/01,9335,2018,Croatia,2017/RSU/01,European Centre for Returns
2018/297,ORD,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb,Croatia",2018/ORD/01 Technical Equipment,431929,2018,Croatia,Technical Equipment,Operational Response Division
2018/380,FSC,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb,Croatia",2018/FSC/GA FSC FIMO Deployment,31046,2018,Croatia,FIMO Deployment,Frontex Situation Centre
2018/389,ECRET,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb,Croatia",2018/ECRet/01 Return & Pre-return activities,7424,2018,Croatia,European Centre for Returns,European Centre for Returns
2017/102,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/01 FOA,9435,2017,Croatia,FOA,Land Borders Sector
2017/127,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/SBS/07 JO Poseidon 2017,332235,2017,Croatia,Poseidon,Sea Border Sector
2017/245,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/01 FOA,9803,2017,Croatia,FOA,Land Borders Sector
2017/309,ABS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/ABS/04 JO Focal Points 2017 Air Intermediate Managers,3327,2017,Croatia,Focal Points,Air Border Sector
2017/354,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/02 Focal Points,7250,2017,Croatia,Focal Points,Land Borders Sector
2017/364,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/03 Coordination Points,5463,2017,Croatia,Coordination Points,Land Borders Sector
2017/365,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/01 FOA,9803,2017,Croatia,FOA,Land Borders Sector
2017/506,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/01 FOA,21864,2017,Croatia,FOA,Land Borders Sector
2017/552,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/SBS/07 JO Poseidon 2017,65364,2017,Croatia,Poseidon,Sea Border Sector
2017/747,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/01 FOA,9803,2017,Croatia,FOA,Land Borders Sector
2017/902,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/01 FOA,9868,2017,Croatia,FOA,Land Borders Sector
2017/934,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/SBS/07 JO Poseidon 2017,30367,2017,Croatia,Poseidon,Sea Border Sector
2017/1018,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/01 FOA,9842,2017,Croatia,FOA,Land Borders Sector
2017/1044,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/SBS/07 JO Poseidon 2017,61401,2017,Croatia,Poseidon,Sea Border Sector
2017/1149,RSU,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/RSU/03 Poseidon,9623,2017,Croatia,Poseidon,Return Support Unit
2017/1166,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/01 FOA,9842,2017,Croatia,FOA,Land Borders Sector
2017/1183,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/SBS/07 JO Poseidon 2017,385617,2017,Croatia,Poseidon,Sea Border Sector
2017/1233,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/02 Focal Points,7563,2017,Croatia,Focal Points,Land Borders Sector
2017/1312,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/03 Coordination Points,6105,2017,Croatia,Coordination Points,Land Borders Sector
2017/1327,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/01 FOA,23681,2017,Croatia,FOA,Land Borders Sector
2017/1411,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/SBS/07 JO Poseidon 2017,36761,2017,Croatia,Poseidon,Sea Border Sector
2017/1413,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/01 FOA,23681,2017,Croatia,FOA,Land Borders Sector
2017/1485,PRU,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/PRU/05 REX 2017,37122,2017,Croatia,REX 2017,Pooled Resources Unit
2017/1599,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/01 FOA,9842,2017,Croatia,FOA,Land Borders Sector
2017/1690,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/SBS/07 JO Poseidon 2017,178202,2017,Croatia,Poseidon,Sea Border Sector
2017/1719,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/01 FOA,9842,2017,Croatia,FOA,Land Borders Sector
2017/1753,RSU,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/RSU/02 - FOA-R 2017,13695,2017,Croatia,FOA,Return Support Unit
2017/1802,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/LBS/01 FOA,9842,2017,Croatia,FOA,Land Borders Sector
2016/73,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/LBS/02 JO Focal Points,6900,2016,Croatia,Focal Points,Land Borders Sector
2016/318,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/LBS/04 FOA on Border Checks,1060,2016,Croatia,FOA,Land Borders Sector
2016/320,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2015/SBS/08 Poseidon Rapid Intervention,212169,2016,Croatia,Poseidon,Sea Border Sector
2016/388,RSU,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/RSU/03 Poseidon Rapid Intervention/Readmission Activities,61940,2016,Croatia,Poseidon,Return Support Unit
2016/515,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/SBS/06 Focal Points Sea,3000,2016,Croatia,Focal Points,Sea Border Sector
2016/641,ABS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/ABS/04 Focal Points Air IM,1853,2016,Croatia,Focal Points,Air Border Sector
2016/686,ABS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/ABS/13 Eurocup,16221,2016,Croatia,Eurocup,Air Border Sector
2016/948,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/LBS/02 JO Focal Points,8580,2016,Croatia,Focal Points,Land Borders Sector
2016/1083,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/LBS/01 FOA,8421,2016,Croatia,FOA,Land Borders Sector
2016/1144,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/LBS/03 JO Coordination Points 2016,18644,2016,Croatia,Coordination Points,Land Borders Sector
2016/1192,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/LBS/02 JO Focal Points,11738,2016,Croatia,Focal Points,Land Borders Sector
2016/1195,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/SBS/07 EPN-Poseidon Sea 2016,43429,2016,Croatia,Poseidon,Sea Border Sector
2016/1228,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/LBS/01 FOA,19572,2016,Croatia,FOA,Land Borders Sector
2016/1386,TRU,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/TRU/UM Securing Europe's External Borders:EBCG,117321,2016,Croatia,Securing Europe's External Borders:EBCG,Training Unit
2016/1407,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/LBS/04 FOA on Border Checks,580,2016,Croatia,FOA,Land Borders Sector
2016/1444,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/SBS/07 EPN-Poseidon Sea 2016,252403,2016,Croatia,Poseidon,Sea Border Sector
2016/1488,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/SBS/07 EPN-Poseidon Sea 2016,64298,2016,Croatia,Poseidon,Sea Border Sector
2016/1550,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/LBS/01 FOA,9803,2016,Croatia,FOA,Land Borders Sector
2016/1558,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/LBS/04 FOA on Border Checks,580,2016,Croatia,FOA,Land Borders Sector
2016/1615,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/LBS/01 FOA,9474,2016,Croatia,FOA,Land Borders Sector
2016/1666,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/LBS/01 FOA,9803,2016,Croatia,FOA,Land Borders Sector
2016/1684,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb,Croatia",2016/LBS/02 JO Focal Points,1280,2016,Croatia,Focal Points,Land Borders Sector
2015/46,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/LBS/02 Focal Points,846,2015,Croatia,Focal Points,Land Borders Sector
2015/170,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/LBS/02 Focal Points,27531,2015,Croatia,Focal Points,Land Borders Sector
2015/176,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/LBS/01 Flexible Operational Activities,804,2015,Croatia,Flexible Operational Activities,Land Borders Sector
2015/205,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/SBS/06 Focal Points,9912,2015,Croatia,Focal Points,Sea Border Sector
2015/212,ROS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/ROS/16 JRO to Kosovo,167,2015,Croatia,Return Operations,Return Operations Sector
2015/287,ABS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/ABS/03 Focal Points,1596,2015,Croatia,Focal Points,Air Border Sector
2015/367,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/SBS/06 Focal Points,286,2015,Croatia,Focal Points,Sea Border Sector
2015/603,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/SBS/07 EPN-Poseidon Sea,225688,2015,Croatia,Poseidon,Sea Border Sector
2015/607,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/LBS/02 Focal Points,662,2015,Croatia,Focal Points,Land Borders Sector
2015/642,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/SBS/05 EPN-Triton,1276131,2015,Croatia,Triton,Sea Border Sector
2015/688,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/LBS/03 Coordination Points,3249,2015,Croatia,Coordination Points,Land Borders Sector
2015/692,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/SBS/05 EPN-Triton,7477,2015,Croatia,Triton,Sea Border Sector
2015/713,ABS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/ABS/11 JO VEGA Children,8143,2015,Croatia,VEGA Children,Air Border Sector
2015/798,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/LBS/02 Focal Points,6057,2015,Croatia,Focal Points,Land Borders Sector
2015/840,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/SBS/05 EPN-Triton,10031,2015,Croatia,Triton,Sea Border Sector
2015/865,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/SBS/07 EPN-Poseidon Sea,523968,2015,Croatia,Poseidon,Sea Border Sector
2015/1248,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/LBS/02 Focal Points,680,2015,Croatia,Focal Points,Land Borders Sector
2015/1258,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/LBS/02 Focal Points,5881,2015,Croatia,Focal Points,Land Borders Sector
2015/1277,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/LBS/01 Flexible Operational Activities,20144,2015,Croatia,Flexible Operational Activities,Land Borders Sector
2015/1305,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/SBS/08 Poseidon Rapid Intervention,23493,2015,Croatia,Poseidon,Sea Border Sector
2015/1343,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2015/SBS/08 Poseidon Rapid Intervention,265223,2015,Croatia,Poseidon,Sea Border Sector
2014/161,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/LBS/04 Focal Points Land,7640,2014,Croatia,Focal Points,Land Borders Sector
2014/295,ABS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/ABS/04 Focal Points,1348.2,2014,Croatia,Focal Points,Air Border Sector
2014/314,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/LBS/02 Flexible Operational Activities,8622.06,2014,Croatia,Flexible Operational Activities,Land Borders Sector
2014/337,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/LBS/05 Coordination Points,4593.17,2014,Croatia,Coordination Points,Land Borders Sector
2014/453,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/LBS/05 Coordination Points,4665.2,2014,Croatia,Coordination Points,Land Borders Sector
2014/468,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/SBS/08 Focal Points,1400,2014,Croatia,Focal Points,Sea Border Sector
2014/689,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/LBS/04 Focal Points Land,6080,2014,Croatia,Focal Points,Land Borders Sector
2014/738,SBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/SBS/07 Poseidon Sea,7179,2014,Croatia,Poseidon,Sea Border Sector
2014/803,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/LBS/04 Focal Points Land,4793.6,2014,Croatia,Focal Points,Land Borders Sector
2014/847,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/LBS/05 Coordination Points,4033.9,2014,Croatia,Coordination Points,Land Borders Sector
2014/882,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/LBS/06 Poseidon Land,6163.2,2014,Croatia,Poseidon,Land Borders Sector
2014/906,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/LBS/05 Coordination Points,4119.5,2014,Croatia,Coordination Points,Land Borders Sector
2014/953,PRU,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/PRU/05 Rex 2014,30343.06,2014,Croatia,Rex 2014,Pooled Resources Unit
2014/1039,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/LBS/04 Focal Points Land,2100,2014,Croatia,Focal Points,Land Borders Sector
2014/1050,LBS,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/LBS/04 Focal Points Land,11293.85,2014,Croatia,Focal Points,Land Borders Sector
2013/106,LBS,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2013/LBS/04 JO Focal Points 2013 Land,9231.15,2013,Croatia,Focal Points,Land Borders Sector
2013/191,LBS,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2013/LBS/04 JO Focal Points 2013 Land,3870.83,2013,Croatia,Focal Points,Land Borders Sector
2013/264,LBS,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2013/LBS/04 JO Focal Points 2013 Land,6183.79,2013,Croatia,Focal Points,Land Borders Sector
2013/373,LBS,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2013/LBS/02 JO Neptune 2013,11552,2013,Croatia,Neptune,Land Borders Sector
2013/376,LBS,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2013/LBS/02 JO Neptune 2013,4404.12,2013,Croatia,Neptune,Land Borders Sector
2013/518,PRU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2013/PRU/04 Rapid intervention exercise - REX 2013,10041.09,2013,Croatia,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/633,LBS,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2013/LBS/04 JO Focal Points 2013 Land,5616,2013,Croatia,Focal Points,Land Borders Sector
2013/634,LBS,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2013/LBS/04 JO Focal Points 2013 Land,9594.95,2013,Croatia,Focal Points,Land Borders Sector
2013/743,LBS,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2013/LBS/06 JO Poseidon Land,5452.33,2013,Croatia,Poseidon,Land Borders Sector
2013/1007,LBS,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2013/LBS/04 JO Focal Points 2013 Land,3520,2013,Croatia,Focal Points,Land Borders Sector
2012/124,LBS,Croatian Ministry of Interior,NA,2012/LBS/02 JO Neptune 2012,6095.8,2012,Croatia,Neptune,Land Borders Sector
2012/340,ABS,Croatian Ministry of Interior,NA,2012/ABS/04 PP Flexi Force - Hubble module,2846.08,2012,Croatia,Hubble,Air Border Sector
2012/355,LBS,Croatian Ministry of Interior,NA,2012/LBS/03 JO Eurocup 2012,8527,2012,Croatia,Eurocup,Land Borders Sector
2012/433,ABS,Croatian Ministry of Interior,NA,2012/ABS/04 PP Flexi Force - Hubble module,4112.55,2012,Croatia,Hubble,Air Border Sector
2012/559,SBS,Croatian Ministry of Interior,NA,2012/SBS/02 JO Poseidon Sea 2012,4740,2012,Croatia,Poseidon,Sea Border Sector
2012/860,ABS,Croatian Ministry of Interior,NA,2012/ABS/03 JO Focal Points 2012,3305.45,2012,Croatia,Focal Points,Air Border Sector
2012/892,LBS,Croatian Ministry of Interior,NA,2012/LBS/04 JO Focal Points 2012,8665.56,2012,Croatia,Focal Points,Land Borders Sector
2011/320/,ABS,Croatian Ministry of Interior,NA,2011/ABS/05 Hubble 2011,8729.66,2011,Croatia,Hubble,Air Border Sector
2011/477/,LBS,Croatian Ministry of Interior,NA,2011/LBS/06 JO Neptune Phase I,6114.46,2011,Croatia,Neptune,Land Borders Sector
2011/832/,SBS,Croatian Ministry of Interior,NA,2011/SBS/02 Poseidon Sea 2011,3285.22,2011,Croatia,Poseidon,Sea Border Sector
2010/106/,LBS,Croatian Ministry of Interior,NA,2010/OPS/20 JO Neptune 2010 Phase I,12942.57,2010,Croatia,Neptune,Land Borders Sector
