grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2021/255,DMD,Luxembourg,Police Grand Ducale,"Direction des Relations Internationales / DRI-CECB.P. 1007L-2957 LUXEMBOURG","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",100000.08,2021,Human Resources,Deployment Management Division
2021/279,DMD,Luxembourg,Police Grand Ducale,"Direction des Relations Internationales / DRI-CECB.P. 1007L-2957 LUXEMBOURG","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",99305,2021,Human Resources,Deployment Management Division
2021/308,DMD,Luxembourg,Police Grand Ducale,"Direction des Relations Internationales / DRI-CECB.P. 1007L-2957 LUXEMBOURG","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",98666.75,2021,Human Resources,Deployment Management Division
2021/357,FOU,Luxembourg,Ministry of Internal Security,"4, Place de l'EuropeL-1499 Luxembourg",2021/FDU/01/Heavy Technical Equipment,1564656,2021,Technical Equipment,Field Operations Unit
2020/78,FDU,Luxembourg,Police Grand Ducale,"CitÃ© PoliciÃ¨re Grand-Duc Henri Complexe A, rue de TrÃ¨ves, L-2957 Luxembourg",2020/FDU/01/Heavy Technical Equipment,977640,2020,Technical Equipment,Field Deployment Unit
2020/84,ECRET,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017, Luxembourg",2020/ECRet/01-FOA-R 2019 including return and pre-return related activities,41346,2020,Flexible Operational Activities,European Centre for Returns
2020/126,FDU,Luxembourg,Police Grand Ducale,"CitÃ© PoliciÃ¨re Grand-Duc Henri Complexe A, rue de TrÃ¨ves, L-2957 Luxembourg",2020/FDU/01/Human Resources/Light Technical Equipment,230192,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/187,FDU,Luxembourg,Ministry of Internal Security,"4, Place de l'EuropeL-1499 Luxembourg",2020/FDU/01/Human Resources/Heavy Technical Technical Equipment,1354447,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/213,ECRET,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017, Luxembourg",2020/ECRET/01,32254,2020,European Centre for Returns,European Centre for Returns
2020/256,FDU,Luxembourg,Police Grand Ducale,"CitÃ© PoliciÃ¨re Grand-Duc Henri Complexe A, rue de TrÃ¨ves, L-2957 Luxembourg",2020/FDU/01/Human Resources/Heavy Technical Technical Equipment,1352187,2020,Technical Equipment & Human Resources,Field Deployment Unit
2019/9,ECRET,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017,Luxembourg",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,69248,2019,Flexible Operational Activities,European Centre for Returns
2019/32,FDU,Luxembourg,Police Grand Ducale,"19-20, boulevard Royal, L-2012 Luxembourg",2019/FDU/01 Technical Equipment,1005297,2019,Technical Equipment,Field Deployment Unit
2019/84,FDU,Luxembourg,Ministry of Internal Security,"19-20, boulevard Royal, L-2012 Luxembourg",2019/FDU/01 Human Resources,255042,2019,Human Resources,Field Deployment Unit
2019/216,FDU,Luxembourg,Ministry of Internal Security,"19-20, boulevard Royal, L-2012 Luxembourg",2019/FDU/01 Technical Equipment,1034832,2019,Technical Equipment,Field Deployment Unit
2019/302,FDU,Luxembourg,Ministry of Internal Security,"19-20, boulevard Royal, L-2012 Luxembourg",2019/FDU/01 Technical Equipment,682717,2019,Technical Equipment,Field Deployment Unit
2019/328,ECRET,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017,Luxembourg",2019/ECRet/01-FOA-R 2019,62594,2019,Flexible Operational Activities,European Centre for Returns
2018/43,ORD,Luxembourg,Ministry of Internal Security,"19-20 Boulevard Royal L2012 Luxembourg",2018/ORD/01 Technical Equipment,1549367,2018,Technical Equipment,Operational Response Division
2018/120,ORD,Luxembourg,Ministry of Internal Security,"19-20 Boulevard Royal L2012 Luxembourg",2018/ORD/01 Human Resources,272934,2018,Human Resources,Operational Response Division
2018/149,RSU,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate,BP 752, L-2017,Luxembourg",2018/RSU/01 CRO to Georgia,15102,2018,Return Operations,Return Support Unit
2018/241,ECRET,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate,BP 752, L-2017,Luxembourg","2018/ECRet/01-FOA- R 2018 including Return Specialist, Identification Missions",55076,2018,Flexible Operational Activities,European Centre for Returns
2018/289,ORD,Luxembourg,Ministry of Internal Security,"19-20 Boulevard Royal L2012 Luxembourg",2018/ORD/01 Technical Equipment,1024700,2018,Technical Equipment,Operational Response Division
2018/330,ECRET,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate,BP 752, L-2017,Luxembourg","2018/ECRet/01-FOA- R 2018 including return operations, return interventions and return related activities",49557.37,2018,Flexible Operational Activities,European Centre for Returns
2018/356,PRU,Luxembourg,Ministry of Internal Security,"19-20 Boulevard Royal L2012 Luxembourg",2018/PRU/07 Rapid Border Intervention Exercise 2018,10409,2018,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2017/61,SBS,Luxembourg,Ministry of Internal Security,"19-20, boulevard Royal, L-2012Luxembourg",2017/SBS/05 JO Triton 2017,19677,2017,Triton,Sea Border Sector
2017/178,RSU,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017, Luxembourg",2017/RSU/01 CJRO to Albania,770,2017,Return Operations,Return Support Unit
2017/279,SBS,Luxembourg,Ministry of Internal Security,"19-20, boulevard Royal, L-2012Luxembourg",2017/SBS/05 JO Triton 2017,44358,2017,Triton,Sea Border Sector
2017/383,RSU,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017, Luxembourg",2017/RSU/01 RO to Servia & Kosovo,37878,2017,Return Operations,Return Support Unit
2017/456,ABS,Luxembourg,Ministry of Internal Security,"19-20, boulevard Royal, L-2012Luxembourg",2017/ABS/03 Focal Points 2017 Air,17771,2017,Focal Points (Air),Air Border Sector
2017/486,RSU,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017, Luxembourg",2017/RSU/01 RO to Nigeria,6211,2017,Return Operations,Return Support Unit
2017/515,SBS,Luxembourg,Ministry of Internal Security,"19-20, boulevard Royal, L-2012Luxembourg",2017/SBS/07 JO Poseidon 2017,571196,2017,Poseidon,Sea Border Sector
2017/644,SBS,Luxembourg,Ministry of Internal Security,"19-20, boulevard Royal, L-2012Luxembourg",2017/SBS/05 JO Triton 2017,21678,2017,Triton,Sea Border Sector
2017/694,SBS,Luxembourg,Ministry of Internal Security,"19-20, boulevard Royal, L-2012Luxembourg",2017/SBS/05 JO Triton 2017,1610811,2017,Triton,Sea Border Sector
2017/928,SBS,Luxembourg,Ministry of Internal Security,"19-20, boulevard Royal, L-2012Luxembourg",2017/SBS/07 JO Poseidon 2017,25937,2017,Poseidon,Sea Border Sector
2017/935,SBS,Luxembourg,Ministry of Internal Security,"19-20, boulevard Royal, L-2012Luxembourg",2017/SBS/05 JO Triton 2017,22158,2017,Triton,Sea Border Sector
