grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2021/24,ECRET,Sweden,Swedish Migration Agency,"601 70 NorrkÃ¶ping, Sweden",2021/ECRet/01,199047.46,2021,European Centre for Returns,European Centre for Returns
2021/31,FDU,Sweden,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden",2021/FDU/01 Human Resources and light technical equipment,957382,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/53,FSC,Sweden,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2021/FSC/01 Human resources and Light technical equipment,20261,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/124,FDU,Sweden,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2021/FDU/01/Heavy Technical Equipment,552349,2021,Technical Equipment,Field Deployment Unit
2021/134,ECRET,Sweden,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden",2021/ECRet/01,174611.23,2021,European Centre for Returns,European Centre for Returns
2021/168,TF Deploy,Sweden,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",20716.68,2021,Human Resources,Task Force Deployment Management
2021/193,ECRET,Sweden,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden",2021/ECRet/01,646170,2021,European Centre for Returns,European Centre for Returns
2021/261,DMD,Sweden,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",455767.03,2021,Human Resources,Deployment Management Division
2021/299,DMD,Sweden,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",705195.9,2021,Human Resources,Deployment Management Division
2021/341,ECRET,Sweden,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden",2021/ECRet/01,70439.13,2021,European Centre for Returns,European Centre for Returns
2021/345,FOU,Sweden,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden",2021/FDU/01/Heavy Technical Equipment,655816,2021,Technical Equipment,Field Operations Unit
2021/359,ECRET,Sweden,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden",2021/ECRet/01,388628,2021,European Centre for Returns,European Centre for Returns
2021/375,ECRET,Sweden,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden",2021/ECRet/01,58376,2021,European Centre for Returns,European Centre for Returns
2021/395,FOU,Sweden,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2021/FDU/01/Heavy Technical Equipment,2020817,2021,Technical Equipment,Field Operations Unit
