grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2011/808/,ABS,Estonia,Police and Border Guard Board,NA,2011/ABS/01 JO Hammer 2011,12510.06,2011,Hammer,Air Border Sector
2011/809/,ABS,Finland,Finnish Border Guard,NA,2011/ABS/01 JO Hammer 2011,4878.81,2011,Hammer,Air Border Sector
2011/810/,ABS,France,Direction Central de la Police aux Frontieres,NA,2011/ABS/01 JO Hammer 2011,5929.46,2011,Hammer,Air Border Sector
2011/811/,ABS,Germany,Federal Police Central Office,NA,2011/ABS/01 JO Hammer 2011,19660.32,2011,Hammer,Air Border Sector
2011/812/,ABS,Iceland,Sudurnes Police District,NA,2011/ABS/01 JO Hammer 2011,5779.48,2011,Hammer,Air Border Sector
2011/813/,ABS,Lithuania,State Border Guard Service Lithuania,NA,2011/ABS/01 JO Hammer 2011,4282.1,2011,Hammer,Air Border Sector
2011/814/,ABS,Luxembourg,Ministry of Foreign Affairs,NA,2011/ABS/01 JO Hammer 2011,5014.74,2011,Hammer,Air Border Sector
2011/815/,ABS,Netherlands,Royal Marechaussee,NA,2011/ABS/01 JO Hammer 2011,12990.27,2011,Hammer,Air Border Sector
2011/816/,ABS,Poland,Border Guard,NA,2011/ABS/01 JO Hammer 2011,4012.9,2011,Hammer,Air Border Sector
2011/817/,ABS,Romania,Romanian Border Police / Coast Guard,NA,2011/ABS/01 JO Hammer 2011,7738.97,2011,Hammer,Air Border Sector
2011/818/,ABS,Slovakia,Bureau of Border and Alien Police,NA,2011/ABS/01 JO Hammer 2011,5500.16,2011,Hammer,Air Border Sector
2011/819/,ABS,Slovakia,Border and Alien Police Directorate Presov,NA,2011/ABS/01 JO Hammer 2011,8196.6,2011,Hammer,Air Border Sector
2011/820/,ABS,Spain,Jefatura Fiscal y de Fronteras,NA,2011/ABS/01 JO Hammer 2011,22278.59,2011,Hammer,Air Border Sector
2011/821/,ABS,Sweden,National Bureau of Investigation,NA,2011/ABS/01 JO Hammer 2011,5401.54,2011,Hammer,Air Border Sector
2011/822/,ABS,Switzerland,Customs/Border Guard,NA,2011/ABS/01 JO Hammer 2011,5224.4,2011,Hammer,Air Border Sector
2011/823/,ABS,United Kingdom,Border Agency,NA,2011/ABS/01 JO Hammer 2011,4748.9,2011,Hammer,Air Border Sector
2011/842/,ABS,Germany,Federal Police Central Office,NA,2011/ABS/11 Air Border Focal Points 2011,39085.9,2011,Focal Points,Air Border Sector
2011/843/,ABS,Germany,Federal Police Central Office,NA,2011/ABS/11 Air Border Focal Points 2011,11398.69,2011,Focal Points,Air Border Sector
2011/851/,ABS,Netherlands,Royal Marechaussee,NA,2011/ABS/11 Air Border Focal Points 2011,3848.55,2011,Focal Points,Air Border Sector
2011/852/,ABS,France,Direction Central de la Police aux Frontieres,NA,2011/ABS/11 Air Border Focal Points 2011,6906.06,2011,Focal Points,Air Border Sector
2011/853/,ABS,Romania,Romanian Border Police / Coast Guard,NA,2011/ABS/11 Air Border Focal Points 2011,6614.59,2011,Focal Points,Air Border Sector
2011/854/,ABS,Germany,Federal Police Central Office,NA,2011/ABS/11 Air Border Focal Points 2011,7256.64,2011,Focal Points,Air Border Sector
2011/855/,ABS,Italy,Guardia Costiera,NA,2011/ABS/11 Air Border Focal Points 2011,5883.82,2011,Focal Points,Air Border Sector
2011/856/,ABS,Hungary,Hungarian National Police,NA,2011/ABS/11 Air Border Focal Points 2011,4642.57,2011,Focal Points,Air Border Sector
2011/863/,ABS,Poland,Border Guard,NA,2011/ABS/11 Air Border Focal Points 2011,7430.4,2011,Focal Points,Air Border Sector
2011/874/,ABS,Estonia,Police and Border Guard Board,NA,2011/ABS/11 Air Border Focal Points 2011,12483.28,2011,Focal Points,Air Border Sector
2011/896/,ABS,Germany,Federal Police Central Office,NA,2011/ABS/11 Air Border Focal Points 2011,11914.31,2011,Focal Points,Air Border Sector
2011/901/,ABS,Czech Republic,"Directorate of Alien and Border Police, Police of the Czech Republic",NA,2011/ABS/01 JO Hammer 2011,6087.45,2011,Hammer,Air Border Sector
2011/902/,ABS,Finland,Finnish Border Guard,NA,2011/ABS/01 JO Hammer 2011,7805.65,2011,Hammer,Air Border Sector
2011/903/,ABS,France,Direction Central de la Police aux Frontieres,NA,2011/ABS/01 JO Hammer 2011,6056.16,2011,Hammer,Air Border Sector
2011/904/,ABS,Germany,Federal Police Central Office,NA,2011/ABS/01 JO Hammer 2011,14276.19,2011,Hammer,Air Border Sector
2011/905/,ABS,Hungary,Hungarian National Police,NA,2011/ABS/01 JO Hammer 2011,5170.14,2011,Hammer,Air Border Sector
2011/906/,ABS,Lithuania,State Border Guard Service Lithuania,NA,2011/ABS/01 JO Hammer 2011,5039.81,2011,Hammer,Air Border Sector
2011/907/,ABS,Netherlands,Royal Marechaussee,NA,2011/ABS/01 JO Hammer 2011,22864.82,2011,Hammer,Air Border Sector
2011/908/,ABS,Norway,National Police Directorate,NA,2011/ABS/01 JO Hammer 2011,7790.9,2011,Hammer,Air Border Sector
2011/909/,ABS,Portugal,Foreigners and Borders Service,NA,2011/ABS/01 JO Hammer 2011,11509.65,2011,Hammer,Air Border Sector
2011/910/,ABS,Romania,Romanian Border Police / Coast Guard,NA,2011/ABS/01 JO Hammer 2011,17949.45,2011,Hammer,Air Border Sector
2011/911/,ABS,Slovakia,Border and Alien Police Directorate,NA,2011/ABS/01 JO Hammer 2011,6708.8,2011,Hammer,Air Border Sector
2011/912/,ABS,Slovenia,Slovenian Ministry of Interior,NA,2011/ABS/01 JO Hammer 2011,7560.52,2011,Hammer,Air Border Sector
2011/913/,ABS,Spain,Comisaría General de Extranjería y Fronteras,NA,2011/ABS/01 JO Hammer 2011,31829.07,2011,Hammer,Air Border Sector
2011/914/,ABS,Sweden,National Bureau of Investigation,NA,2011/ABS/01 JO Hammer 2011,5946.89,2011,Hammer,Air Border Sector
2011/915/,ABS,Switzerland,Customs/Border Guard,NA,2011/ABS/01 JO Hammer 2011,7080.7,2011,Hammer,Air Border Sector
2011/922/,ABS,Iceland,Sudurnes Police District,NA,2011/ABS/01 JO Hammer 2011,7605.97,2011,Hammer,Air Border Sector
2011/923/,ABS,Luxembourg,Ministry of Foreign Affairs,NA,2011/ABS/01 JO Hammer 2011,5872.68,2011,Hammer,Air Border Sector
2011/924/,ABS,Denmark,Danish National Police,NA,2011/ABS/01 JO Hammer 2011,6779.81,2011,Hammer,Air Border Sector
2011/1011/,ABS,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection",NA,2011/ABS/11 Air Border Focal Points 2011,4488.12,2011,Focal Points,Air Border Sector
2011/1035/,ABS,Romania,Romanian Border Police / Coast Guard,NA,2011/ABS/11 Air Border Focal Points 2011,4465.59,2011,Focal Points,Air Border Sector
2011/1036/,ABS,Belgium,Federal Police,NA,2011/ABS/11 Air Border Focal Points 2011,6080.3,2011,Focal Points,Air Border Sector
2011/1037/,ABS,Germany,Federal Police Central Office,NA,2011/ABS/11 Air Border Focal Points 2011,15173.38,2011,Focal Points,Air Border Sector
2011/1038/,ABS,Netherlands,Royal Marechaussee,NA,2011/ABS/11 Air Border Focal Points 2011,17760.56,2011,Focal Points,Air Border Sector
2011/1050/,ABS,Switzerland,Customs/Border Guard,NA,2011/ABS/11 Air Border Focal Points 2011,15607.8,2011,Focal Points,Air Border Sector
2011/1051/,ABS,Poland,Border Guard,NA,2011/ABS/11 Air Border Focal Points 2011,11817.35,2011,Focal Points,Air Border Sector
2011/1052/,ABS,Hungary,Office of Immigration and Nationality,NA,2011/ROS/48 JRO to Armenia and Georgia,1363.6,2011,Return Operations,Air Border Sector
2011/1061/,ABS,France,Direction Central de la Police aux Frontieres,NA,2011/ABS/11 Air Border Focal Points 2011,15986.41,2011,Focal Points,Air Border Sector
2011/1072/,ABS,Spain,Comisaría General de Extranjería y Fronteras,NA,2011/ABS/11 Air Border Focal Points 2011,23116.56,2011,Focal Points,Air Border Sector
2011/1073/,ABS,Portugal,Foreigners and Borders Service,NA,2011/ABS/11 Air Border Focal Points 2011,14860.78,2011,Focal Points,Air Border Sector
2011/1074/,ABS,Finland,Finnish Border Guard,NA,2011/ABS/11 Air Border Focal Points 2011,5886.26,2011,Focal Points,Air Border Sector
2010/120/,ABS,France,Direction Central de la Police aux Frontieres,NA,2010/OPS/09 Air Border Focal Points 2010,5383,2010,Focal Points,Air Border Sector
2010/121/,ABS,Spain,Comisaría General de Extranjería y Fronteras,NA,2010/OPS/09 Air Border Focal Points 2010,7102.34,2010,Focal Points,Air Border Sector
2010/122/,ABS,Portugal,Foreigners and Borders Service,NA,2010/OPS/09 Air Border Focal Points 2010,8117.97,2010,Focal Points,Air Border Sector
2010/123/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/09 Air Border Focal Points 2010,10238.85,2010,Focal Points,Air Border Sector
2010/124/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/09 Air Border Focal Points 2010,19902.75,2010,Focal Points,Air Border Sector
2010/125/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/09 Air Border Focal Points 2010,23369.55,2010,Focal Points,Air Border Sector
2010/126/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/09 Air Border Focal Points 2010,17679.1,2010,Focal Points,Air Border Sector
2010/144/,ABS,Czech Republic,"Directorate of Alien and Border Police, Police of the Czech Republic",NA,2010/OPS/09 Air Border Focal Points 2010,9517.08,2010,Focal Points,Air Border Sector
2010/146/,ABS,Austria,Federal Ministry of Interior,NA,2010/OPS/09 Air Border Focal Points 2010,19610.1,2010,Focal Points,Air Border Sector
2010/151/,ABS,Belgium,Federal Police,NA,2010/OPS/09 Air Border Focal Points 2010,7383.44,2010,Focal Points,Air Border Sector
2010/152/,ABS,Belgium,Federal Police,NA,2010/OPS/09 Air Border Focal Points 2010,8285.73,2010,Focal Points,Air Border Sector
2010/153/,ABS,Italy,Guardia Costiera,NA,2010/OPS/09 Air Border Focal Points 2010,7326.3,2010,Focal Points,Air Border Sector
2010/154/,ABS,Austria,Federal Ministry of Interior,NA,2010/OPS/09 Air Border Focal Points 2010,6066.65,2010,Focal Points,Air Border Sector
2010/171/,ABS,Austria,Federal Ministry of Interior,NA,2010/OPS/09 Air Border Focal Points 2010,11020.02,2010,Focal Points,Air Border Sector
2010/172/,ABS,Spain,Comisaría General de Extranjería y Fronteras,NA,2010/OPS/09 Air Border Focal Points 2010,6758,2010,Focal Points,Air Border Sector
2010/180/,ABS,France,Direction Central de la Police aux Frontieres,NA,2010/OPS/09 Air Border Focal Points 2010,6116.62,2010,Focal Points,Air Border Sector
2010/185/,ABS,Estonia,Police and Border Guard Board,NA,2010/OPS/09 Air Border Focal Points 2010,6753.5,2010,Focal Points,Air Border Sector
2010/186/,ABS,Lithuania,State Border Guard Service Lithuania,NA,2010/OPS/09 Air Border Focal Points 2010,5183.62,2010,Focal Points,Air Border Sector
2010/187/,ABS,Portugal,Foreigners and Borders Service,NA,2010/OPS/09 Air Border Focal Points 2010,7416.45,2010,Focal Points,Air Border Sector
2010/203/,ABS,Slovakia,Border and Alien Police Directorate,NA,2010/OPS/09 Air Border Focal Points 2010,7090.7,2010,Focal Points,Air Border Sector
2010/204/,ABS,Poland,Border Guard,NA,2010/OPS/09 Air Border Focal Points 2010,5893.65,2010,Focal Points,Air Border Sector
2010/205/,ABS,Latvia,State Border Guard,NA,2010/OPS/09 Air Border Focal Points 2010,31195.8,2010,Focal Points,Air Border Sector
2010/206/,ABS,Italy,Guardia Costiera,NA,2010/OPS/09 Air Border Focal Points 2010,17241.39,2010,Focal Points,Air Border Sector
2010/237/,ABS,Austria,Federal Ministry of Interior,NA,2010/OPS/09 Air Border Focal Points 2010,13990.56,2010,Focal Points,Air Border Sector
2010/267/,ABS,Spain,Comisaría General de Extranjería y Fronteras,NA,2010/OPS/09 Air Border Focal Points 2010,9206.02,2010,Focal Points,Air Border Sector
2010/269/,ABS,Austria,Federal Ministry of Interior,NA,2010/OPS/09 Air Border Focal Points 2010,20773.15,2010,Focal Points,Air Border Sector
2010/274/,ABS,France,Direction Central de la Police aux Frontieres,NA,2010/OPS/09 Air Border Focal Points 2010,6958.4,2010,Focal Points,Air Border Sector
2010/275/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/09 Air Border Focal Points 2010,15556.89,2010,Focal Points,Air Border Sector
2010/276/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/09 Air Border Focal Points 2010,13271.96,2010,Focal Points,Air Border Sector
2010/284/,ABS,Poland,Border Guard,NA,2010/OPS/05 JO Hubble 2010,16470.95,2010,Hubble,Air Border Sector
2010/285/,ABS,Spain,Comisaría General de Extranjería y Fronteras,NA,2010/OPS/05 JO Hubble 2010,35310.33,2010,Hubble,Air Border Sector
2010/286/,ABS,Romania,Romanian Border Police / Coast Guard,NA,2010/OPS/05 JO Hubble 2010,14233.06,2010,Hubble,Air Border Sector
2010/287/,ABS,Norway,National Police Directorate,NA,2010/OPS/05 JO Hubble 2010,20305.9,2010,Hubble,Air Border Sector
2010/288/,ABS,Netherlands,Royal Marechaussee,NA,2010/OPS/05 JO Hubble 2010,27554.63,2010,Hubble,Air Border Sector
2010/289/,ABS,Latvia,State Border Guard,NA,2010/OPS/05 JO Hubble 2010,7249.4,2010,Hubble,Air Border Sector
2010/290/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/05 JO Hubble 2010,19949.25,2010,Hubble,Air Border Sector
2010/291/,ABS,France,Direction Central de la Police aux Frontieres,NA,2010/OPS/05 JO Hubble 2010,23847.8,2010,Hubble,Air Border Sector
2010/292/,ABS,Austria,Federal Ministry of Interior,NA,2010/OPS/05 JO Hubble 2010,7288.26,2010,Hubble,Air Border Sector
2010/304/,ABS,Italy,Guardia Costiera,NA,2010/OPS/09 Air Border Focal Points 2010,7898.47,2010,Focal Points,Air Border Sector
2010/305/,ABS,Finland,Finnish Border Guard,NA,2010/OPS/05 JO Hubble 2010,9484.08,2010,Hubble,Air Border Sector
2010/306/,ABS,Slovakia,Border and Alien Police Directorate,NA,2010/OPS/05 JO Hubble 2010,14858.25,2010,Hubble,Air Border Sector
2010/312/,ABS,Slovakia,Border and Alien Police Directorate,NA,2010/OPS/05 JO Hubble 2010,9339.65,2010,Hubble,Air Border Sector
