grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2023/240,DMD,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",133902.48,2023,Human Resources,Deployment Management Division
2023/262,FOU,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2023/FOU/01/Heavy Technical Equipment,227741,2023,Technical Equipment,Field Operations Unit
2023/311,ECRET,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2023/ECRET/01,12277,2023,European Centre for Returns,European Centre for Returns
2022/62,DMD,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2022/DMD/01 Human resources and Light technical equipment,82269,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/69,ECRET,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2022/ECRET/01,12090,2022,European Centre for Returns,European Centre for Returns
2022/86,DMD,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2022/DMD/01 Human resources and Light technical equipment,637381,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/201,DMD,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",15964.36,2022,Human Resources,Deployment Management Division
2022/253,DMD,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",248086.15,2022,Human Resources,Deployment Management Division
2022/370,FOU,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2022/FOU/01/Heavy Technical Equipment,226505,2022,Technical Equipment,Field Operations Unit
2021/107,FSC,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2021/FSC/01 Human resources and Light technical equipment,172639,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/142,FDU,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2021/CGS/01/Heavy Technical Equipment,272666,2021,Technical Equipment,Field Deployment Unit
2021/156,TF Deploy,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",15783.35,2021,Human Resources,Task Force Deployment Management
2021/199,FDU,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2021/FDU/01 Human Resources and light technical equipment,346143,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/285,DMD,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",221913.84,2021,Human Resources,Deployment Management Division
2021/373,DMD,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta","MOA Air, MOA Land",53268,2021,Multipurpose Operational Activities (Air),Deployment Management Division
2020/89,FSC,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2020/FSC/GA FSC FIMO Deployment,153842,2020,FIMO Deployment,Frontex Situation Centre
2020/222,FDU,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2020/FDU/01/Human Resources,191398,2020,Human Resources,Field Deployment Unit
2020/294,ECRET,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2020/ECRet/01,3055,2020,European Centre for Returns,European Centre for Returns
2019/142,FDU,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2019/FDU/01 Technical Equipment,256252,2019,Technical Equipment,Field Deployment Unit
2019/144,FDU,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2019/FDU/01 Human Resources,332239,2019,Human Resources,Field Deployment Unit
2019/197,FSC,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2019/FSC/GA FSC FIMO Deployment,56653,2019,FIMO Deployment,Frontex Situation Centre
2018/112,ORD,Malta,Armed Forces of Malta,"General Headquarters,Luqa Barracks, Malta",2018/ORD/01 Human Resources,451453,2018,Human Resources,Operational Response Division
2018/171,ORD,Malta,Armed Forces of Malta,"General Headquarters,Luqa Barracks, Malta",2018/ORD/01 Technical Equipment,240796,2018,Technical Equipment,Operational Response Division
2018/177,ORD,Malta,Malta Police Force,"Calcedonius Sqr.,Floriana, Malta",2018/ORD/01 Human Resources,26457,2018,Human Resources,Operational Response Division
2018/216,FSC,Malta,Armed Forces of Malta,"General Headquarters,Luqa Barracks, Malta",2018/FSC/GA FSC FIMO Deployment,18035,2018,FIMO Deployment,Frontex Situation Centre
2018/372,PRU,Malta,Malta Police Force,"Calcedonius Sqr.,Floriana, Malta",2018/PRU/07 Rapid Border Intervention,8808,2018,Rapid Border Intervention,Pooled Resources Unit
2017/109,SBS,Malta,Armed Forces of Malta,"General Headquarters, LuqaBarracks, Malta",2017/SBS/05 JO Triton 2017,239509,2017,Triton,Sea Border Sector
2017/469,SBS,Malta,Armed Forces of Malta,"General Headquarters, LuqaBarracks, Malta",2017/SBS/05 JO Triton 2017,288901,2017,Triton,Sea Border Sector
2017/751,SBS,Malta,Armed Forces of Malta,"General Headquarters, LuqaBarracks, Malta",2017/SBS/05 JO Triton 2017,282357,2017,Triton,Sea Border Sector
2017/1133,SBS,Malta,Armed Forces of Malta,"General Headquarters, LuqaBarracks, Malta",2017/SBS/05 JO Triton 2017,474059,2017,Triton,Sea Border Sector
2017/1435,SBS,Malta,Armed Forces of Malta,"General Headquarters, LuqaBarracks, Malta",2017/SBS/05 JO Triton 2017,287311,2017,Triton,Sea Border Sector
2017/1486,LBS,Malta,Armed Forces of Malta,"General Headquarters, LuqaBarracks, Malta",2017/LBS/01 FOA,114597,2017,Flexible Operational Activities,Land Borders Sector
2017/1731,SBS,Malta,Armed Forces of Malta,"General Headquarters, LuqaBarracks, Malta",2017/SBS/05 JO Triton 2017,286562,2017,Triton,Sea Border Sector
2016/88,SBS,Malta,Armed Forces of Malta,"General Headquarters,Luqa Barracks, Malta",2016/SBS/05 EPN-Triton,278871,2016,Triton,Sea Border Sector
2016/171,RSU,Malta,Malta Police Force,"Calcedonius Sqr.,Floriana, Malta",2016/RSU/01 JRO to Nigeria,1632,2016,Return Operations,Return Support Unit
2016/392,SBS,Malta,Armed Forces of Malta,"General Headquarters,Luqa Barracks, Malta",2016/SBS/05 EPN-Triton,215725,2016,Triton,Sea Border Sector
2016/494,RSU,Malta,Malta Police Force,"Calcedonius Sqr.,Floriana, Malta",2016/RSU/03 Poseidon Rapid Intervention/Readmission Activities,16169,2016,Poseidon,Return Support Unit
2016/508,SBS,Malta,Armed Forces of Malta,"General Headquarters,Luqa Barracks, Malta",2015/SBS/08 Poseidon Rapid Intervention & 2016/SBS/07 EPN Poseidon Sea 2016,455485,2016,Poseidon,Sea Border Sector
2016/669,SBS,Malta,Armed Forces of Malta,"General Headquarters,Luqa Barracks, Malta",2016/SBS/05 EPN-Triton,296622,2016,Triton,Sea Border Sector
2016/791,LBS,Malta,Armed Forces of Malta,"General Headquarters,Luqa Barracks, Malta",2016/LBS/01 FOA,174888,2016,Flexible Operational Activities,Land Borders Sector
2016/1006,SBS,Malta,Armed Forces of Malta,"General Headquarters,Luqa Barracks, Malta",2016/SBS/05 EPN-Triton,287440,2016,Triton,Sea Border Sector
2016/1336,SBS,Malta,Armed Forces of Malta,"General Headquarters,Luqa Barracks, Malta",2016/SBS/05 EPN-Triton,279185,2016,Triton,Sea Border Sector
2016/1426,RSU,Malta,Malta Police Force,"Calcedonius Sqr.,Floriana, Malta",2016/RSU/01 JRO to Nigeria,1812,2016,Return Operations,Return Support Unit
2016/1604,SBS,Malta,Armed Forces of Malta,"General Headquarters,Luqa Barracks, Malta",2016/SBS/05 EPN-Triton,202759,2016,Triton,Sea Border Sector
2016/1645,RSU,Malta,Malta Police Force,"Calcedonius Sqr.,Floriana, Malta","2016/RSU/02 FOA, Task Force from Mali to Malta",4455,2016,Flexible Operational Activities,Return Support Unit
2015/105,SBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks,Malta",2015/SBS/05 EPN-Triton,414725,2015,Triton,Sea Border Sector
2015/131,ROS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2015/ROS/11 JRO to Nigeria,4667,2015,Return Operations,Return Operations Sector
2015/282,ROS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2015/ROS/17 JRO to Nigeria,5484,2015,Return Operations,Return Operations Sector
2015/372,SBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks,Malta",2015/SBS/07 EPN-Poseidon Sea,408712,2015,Poseidon,Sea Border Sector
2015/446,ROS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2015/ROS/25 JRO to Nigeria,2587,2015,Return Operations,Return Operations Sector
2015/566,SBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks,Malta",2015/SBS/05 EPN-Triton,547504,2015,Triton,Sea Border Sector
2015/921,ROS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2015/ROS/43 JRO to Nigeria,2113,2015,Return Operations,Return Operations Sector
2015/974,SBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks,Malta",2015/SBS/05 EPN-Triton,193451,2015,Triton,Sea Border Sector
2015/1220,SBS,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks,Malta",2015/SBS/05 EPN-Triton,281071,2015,Triton,Sea Border Sector
2014/2,ROS,Malta,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2014/ROS/05 JRO to Nigeria,2331.37,2014,Return Operations,Return Operations Sector
