grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2019/94,ECRET,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,14225,2019,Slovenia,FOA,European Centre for Returns
2019/98,ECRET,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,12322,2019,Czech Republic,FOA,European Centre for Returns
2019/105,ECRET,Chief Directorate Border Police - Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202,Bulgaria",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,59552,2019,Bulgaria,FOA,European Centre for Returns
2019/125,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA,Albania",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,9844,2019,Albania,FOA,European Centre for Returns
2019/127,ECRET,Repatriation and Departure Service,"Rijnstraat 8 | 2515 XP | The HaguePostal adress: P.O. Box 164 | 2501 CD | The Hague",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,45416,2019,Netherlands,FOA,European Centre for Returns
2019/146,ECRET,Federal Police Regional Office Koblenz,"RoonstraÃŸe 13, 56068 Koblenz",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,6877642.65,2019,Germany,FOA,European Centre for Returns
2019/147,ECRET,Swedish Police Authority,"P.O. Box 12256,  SE-10226, Stockholm, Sweden",2019/ECRet/01-FOA-R 2019 including return and pre-  return related activities,1987321,2019,Sweden,FOA,European Centre for Returns
2019/148,ECRET,Comisaría General de Extranjería y Fronteras,"C/ General PardiÃ±as 90 bis, 28006, Madrid",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,1281443,2019,Spain,FOA,European Centre for Returns
2019/149,ECRET,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5,Bucharest",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,9293,2019,Romania,FOA,European Centre for Returns
2019/150,ECRET,State Secretariat for Migration,"Operations Center (OPC)Postfach 314, CH-8058 ZÃ¼rich-Flughafen,Switzerland",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,580132,2019,Switzerland,FOA,European Centre for Returns
2019/152,ECRET,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna,Austria",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,1941786,2019,Austria,FOA,European Centre for Returns
2019/153,ECRET,Federal Police Central Office,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam,Germany",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,129681,2019,Germany,FOA,European Centre for Returns
2019/154,ECRET,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels â€“ Belgium",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,64553,2019,Belgium,FOA,European Centre for Returns
2019/157,ECRET,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,1419616,2019,Italy,FOA,European Centre for Returns
2019/158,ECRET,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,2912,2019,Greece,FOA,European Centre for Returns
2019/161,ECRET,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,733683,2019,France,FOA,European Centre for Returns
2019/163,ECRET,National Police Commissioner,"SkÃºlagata 21, IS-101 Reykjavik, Iceland",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,103506,2019,Iceland,FOA,European Centre for Returns
2019/166,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,2744.55,2019,Georgia,FOA,European Centre for Returns
2019/167,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA,Albania",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,8988,2019,Albania,FOA,European Centre for Returns
2019/182,ECRET,Finnish National Police Board,"AsemapÃ¤Ã¤llikÃ¶nkatu 14, 00521 Helsinki, Finland",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,125499,2019,Finland,FOA,European Centre for Returns
2019/187,ECRET,Immigration and Asylum Office,"1117 Budapest, Budafoki str. 60, Hungary",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,29344,2019,Hungary,FOA,European Centre for Returns
2019/192,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,4836.4,2019,Georgia,FOA,European Centre for Returns
2019/196,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA,Albania",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,7875.2,2019,Albania,FOA,European Centre for Returns
2019/200,ECRET,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,20349,2019,Poland,FOA,European Centre for Returns
2019/202,ECRET,National Police Immigration Service,"Ã˜kern veien 11-13, Postbox 8102 Dep. 0032 Oslo,Norway",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,109759,2019,Norway,FOA,European Centre for Returns
2019/207,ECRET,Chief Directorate Border Police - Ministry of Interior,"48 â€œKnyaginya Maria Louisaâ€ Blvd, Sofia 1202,Bulgaria",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,30694,2019,Bulgaria,FOA,European Centre for Returns
2019/224,ECRET,State Secretariat for Migration,"Operations Center (OPC)Postfach 314, CH-8058 ZÃ¼rich-Flughafen,Switzerland",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,59164,2019,Switzerland,FOA,European Centre for Returns
2019/225,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,2439.6,2019,Georgia,FOA,European Centre for Returns
2019/227,ECRET,Federal Police Regional Office Koblenz,"RoonstraÃŸe 13, 56068 Koblenz",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,7404780.12,2019,Germany,FOA,European Centre for Returns
