grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2020/321,TF Deploy,Slovakia,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B  812 72 Bratislava, Slovak Republic",Financial Support Cat.2,313804,2020,Financial Support (Cat. 2) Task Force Deployment Management,Task Force Deployment Management
2020/322,TF Deploy,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark",Financial Support Cat.2,428004,2020,Financial Support (Cat. 2) Task Force Deployment Management,Task Force Deployment Management
2020/323,TF Deploy,Sweden,Swedish Migration Agency,"601 70 NorrkÃ¶ping, Sweden",Financial Support Cat.2,438762,2020,Financial Support (Cat. 2) Task Force Deployment Management,Task Force Deployment Management
2020/324,TF Deploy,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","MinistÃ¨res Ã©conomiques et financiers - 139, rue de Bercy, ParisXIIe, 75012",Financial Support Cat.2,1948032,2020,Financial Support (Cat. 2) Task Force Deployment Management,Task Force Deployment Management
2020/325,TF Deploy,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",Financial Support Cat.2,460311,2020,Financial Support (Cat. 2) Task Force Deployment Management,Task Force Deployment Management
2020/326,TF Deploy,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FI-00131 Helsinki, Finland",Financial Support Cat.2,390930,2020,Financial Support (Cat. 2) Task Force Deployment Management,Task Force Deployment Management
2020/327,TF Deploy,Cyprus,"Cyprus Police, Police Headquarters","Sotiri Tsagari 9, 1478 Nicosia, Cyprus",Financial Support Cat.2,78352,2020,Financial Support (Cat. 2) Task Force Deployment Management,Task Force Deployment Management
2020/329,TF Deploy,Spain,Jefatura Fiscal y de Fronteras,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",Financial Support Cat.2,1121881,2020,Financial Support (Cat. 2) Task Force Deployment Management,Task Force Deployment Management
2020/330,TF Deploy,Lithuania,State Border Guard Service Lithuania,"SAVANORIÅ² PR. 2, Vilnius LT-03116, Lithuania",Financial Support Cat.2,174015,2020,Financial Support (Cat. 2) Task Force Deployment Management,Task Force Deployment Management
2020/331,TF Deploy,Austria,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",Financial Support Cat.2,385965,2020,Financial Support (Cat. 2) Task Force Deployment Management,Task Force Deployment Management
