year,country,European Centre for Returns,Flexible Operational Activities,Human Resources,Other,Poseidon,Post-Return Assistance,Return Operations,Technical Equipment,Technical Equipment & Human Resources,Triton,Aeneas,Alexis,Attica,Black Sea 2022,Eurocup,FIELDS database,FIMO Deployment,Financial Support (Cat. 2) Task Force Deployment Management,Focal Points (Air),Focal Points (Land),Hammer,Hera,Hermes,Hubble,Indalo,International and European Cooperation Division,Jupiter,Maritime Operational Activities,Mixed crew proof of concept,Montenegro 2021,Multipurpose Operational Activities (Air),Multipurpose Operational Activities (Land),Multipurpose Operational Activities LAND,Nautilus,Neptune,Other joint operations,Return Support Unit,Rex 2014,Training Unit,Trainings standing corps
2021,Spain,2625301,0,2183871.7399999998,0,0,0,0,3829398.65,3830500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3910759.43
2022,Spain,2026883,0,2599786.83,3852.14,0,0,0,3081210,4084000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6877162
2023,Spain,4119952,0,3585339.58,0,0,0,0,5530106,3688130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Spain,3793040,0,4104925.0700000003,0,0,0,0,1702868,3444316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5067767.25
2008,Sweden,0,0,0,40009.6,67107.09,0,143832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Sweden,0,0,0,98470,542501,0,774878.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Sweden,0,0,0,206408.32,684847.2,0,1014985.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Sweden,0,0,0,227194.1,20183,0,956189.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20188.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Sweden,0,0,0,167032.25,0,0,981061.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Sweden,0,0,0,100721.55,21252.34,0,677100.8099999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7709.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Sweden,0,0,0,151202.33000000002,61845.44,0,981331.44,0,0,5805.82,0,0,0,0,0,0,0,0,0,0,0,0,565085.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Sweden,0,6442,0,106479,948241,0,937208,0,0,2886602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Sweden,0,35292,0,145064,3074915,0,1618026,0,0,725058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Sweden,0,33417,0,158121,1218144,0,2924842,0,0,4682561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Sweden,1216,907049,696587,582328.19,0,0,957197,964568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Sweden,0,5905543,612835,0,0,0,0,905109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Sweden,1936752.93,0,0,438762,0,0,0,0,2169081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Sweden,3607648.82,0,1181679.61,82691.16,0,0,0,3228982,977643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Sweden,2199139.54,0,1495056.86,0,0,0,0,2171021,796540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Sweden,3971109.13,0,2404702.93,0,0,0,0,1323397,2098917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Sweden,5158122.5,0,2154718.74,0,0,0,0,1241996,1425986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Switzerland,0,0,0,74888.54000000001,0,0,35112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Switzerland,0,0,0,229415.57,0,0,102327.17000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Switzerland,0,0,0,254043.63,0,0,34899.240000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Switzerland,0,0,0,227379.55,0,0,37653.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Switzerland,0,8414.48,0,250525.37,0,0,142084.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Switzerland,0,55465,0,182771,0,0,302859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Switzerland,0,119429,0,250911,0,0,1542454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Switzerland,0,55131,0,274841,0,0,1476961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Switzerland,0,0,373798,10409,0,0,2035880.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Switzerland,0,1173317,365273.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Switzerland,48756.97,0,0,0,0,0,0,0,374175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Switzerland,487515,0,728287.4199999999,0,0,0,0,0,521815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Switzerland,406281,0,814848.02,0,0,0,0,0,791393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Switzerland,336559,0,1082499.77,0,0,0,0,0,944224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Switzerland,513266,0,1310665.72,0,0,0,0,0,992505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83525.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5710.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Turkey,0,0,0,1597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11331.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Turkey,0,0,0,0,0,0,0,0,0,0,0,6767,0,0,0,0,0,0,20129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Turkey,0,0,0,0,0,0,0,0,0,0,0,12722,0,0,20259,0,0,0,41732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Turkey,0,0,13401.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Turkey,0,0,30757.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Ukraine,0,0,0,48223.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Ukraine,0,0,0,41563.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Ukraine,0,0,0,90560.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Ukraine,0,0,0,42196.479999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Ukraine,0,0,0,99833.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Ukraine,0,0,0,29583.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Ukraine,0,0,0,16399.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Ukraine,0,0,0,32309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Ukraine,0,0,0,103862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Ukraine,0,0,0,192506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Ukraine,0,0,0,167476.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Ukraine,0,0,0,161983.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Ukraine,0,0,0,146768.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Ukraine,0,0,0,38028.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Ukraine,0,0,0,92160.17000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,United Kingdom,0,0,0,98625.27,39976.32,0,111481,0,0,0,0,0,0,0,0,0,0,0,0,0,97533.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,United Kingdom,0,0,0,67614.9,69346.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59118.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,United Kingdom,0,0,0,28164.66,99975.9,0,1037612.86,0,0,0,0,0,4960.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,United Kingdom,0,0,0,15654.669999999998,54629.159999999996,0,469664.49000000005,0,0,0,0,0,20587.7,0,0,0,0,0,0,0,4748.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,United Kingdom,0,0,0,50123.28,61973.46000000001,0,18478.52,0,0,0,0,0,11100.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,United Kingdom,0,0,0,38272.59,128990.92,0,125970,0,0,0,0,0,222653.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,United Kingdom,0,0,0,33619.46,4920.93,0,0,0,0,21988.86,0,0,241613.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,United Kingdom,0,213480,0,44542,8817,0,18003,0,0,104148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
