grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2023/375,ECRET,Iceland,Office of the National Commissioner of the Icelandic Police,"Skúlagata 21, IS-101 Reykjavik, Iceland",2023/ECRET/01,13466,2023,European Centre for Returns,European Centre for Returns
2023/409,FOU,Iceland,Icelandic Coast Guard,"Skogarhlid 14, 105 Reykjavik, Iceland",2023/FOU/01/Heavy Technical Equipment,1488281,2023,Technical Equipment,Field Operations Unit
2023/460,ECRET,Iceland,Office of the National Commissioner of the Icelandic Police,"Skúlagata 21, IS-101 Reykjavik, Iceland",2023/ECRET/01,59168,2023,European Centre for Returns,European Centre for Returns
2022/40,ECRET,Iceland,Office of the National Commissioner of the Icelandic Police,"Skúlagata 21, IS-101 Reykjavik, Iceland",2022/ECRET/01,11464,2022,European Centre for Returns,European Centre for Returns
2022/98,FOU,Iceland,Icelandic Coast Guard,"Skogarhlid 14, 105 Reykjavik, Iceland",2022/FOU/01/Heavy Technical Equipment,1432962,2022,Technical Equipment,Field Operations Unit
2022/229,DMD,Iceland,Ministry of Justice Iceland,"Sölvhólsgata 7, 101 Reykjavík Iceland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",44700.2,2022,Human Resources,Deployment Management Division
2022/250,DMD,Iceland,Ministry of Justice Iceland,"Sölvhólsgata 7, 101 Reykjavík Iceland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",215007.96,2022,Human Resources,Deployment Management Division
2022/290,ECRET,Iceland,Office of the National Commissioner of the Icelandic Police,"Skúlagata 21, IS-101 Reykjavik, Iceland",2022/ECRET/01,11464,2022,European Centre for Returns,European Centre for Returns
2022/315,FOU,Iceland,Icelandic Coast Guard,"Skogarhlid 14, 105 Reykjavik, Iceland",2022/FOU/01/Heavy Technical Equipment,1603759,2022,Technical Equipment,Field Operations Unit
2022/384,DMD,Iceland,Office of the National Commissioner of the Icelandic Police,"Skúlagata 21, IS-101 Reykjavik, Iceland",2022/DMD/01 Human resources and Light technical equipment,39925,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/415,ECRET,Iceland,Office of the National Commissioner of the Icelandic Police,"Skúlagata 21, IS-101 Reykjavik, Iceland",2022/ECRET/01,5733,2022,European Centre for Returns,European Centre for Returns
2021/14,ECRET,Iceland,Office of the National Commissioner of the Icelandic Police,"SkÃºlagata 21, IS-101 Reykjavik, Iceland",2021/ECRet/01,156655,2021,European Centre for Returns,European Centre for Returns
2021/99,FDU,Iceland,Icelandic Coast Guard,"Skogarhlid 14, 105 Reykjavik, Iceland",2021/FDU/01/Heavy Technical Equipment,1372331,2021,Technical Equipment,Field Deployment Unit
2021/277,FDU,Iceland,Icelandic Coast Guard,"Skogarhlid 14, 105 Reykjavik, Iceland",2021/FDU/01/Heavy Technical Equipment,1923252,2021,Technical Equipment,Field Deployment Unit
