grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2021/426,DMD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",Joint Operation Serbia Land 2021,3062.34,2021,Operation Serbia Land 2021,Deployment Management Division
2020/103,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",2020/FDU/01/Human Resources/Light Technical Equipment,12504.13,2020,Technical Equipment & Human Resources,Field Deployment Unit
2019/71,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic ofSerbia",2019/FDU/01 Human Resources,7599.14,2019,Human Resources,Field Deployment Unit
2019/115,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic ofSerbia",2019/FDU/01 Human Resources,7599.14,2019,Human Resources,Field Deployment Unit
2019/129,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic ofSerbia",2019/FDU/01 Human Resources,7599.14,2019,Human Resources,Field Deployment Unit
2019/170,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic ofSerbia",2019/FDU/01 Human Resources,7599.14,2019,Human Resources,Field Deployment Unit
2019/188,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic ofSerbia",2019/FDU/01 Human Resources,7599.14,2019,Human Resources,Field Deployment Unit
2019/190,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic ofSerbia",2019/FDU/01 Human Resources,7599.14,2019,Human Resources,Field Deployment Unit
2019/191,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic ofSerbia",2019/FDU/01 Human Resources,7599.14,2019,Human Resources,Field Deployment Unit
2019/260,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic ofSerbia",2019/FDU/01 Human Resources,7599.14,2019,Human Resources,Field Deployment Unit
2019/284,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic ofSerbia",2019/FDU/01 Human Resources,7278.14,2019,Human Resources,Field Deployment Unit
2019/317,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic ofSerbia",2019/FDU/01 Human Resources,7278.14,2019,Human Resources,Field Deployment Unit
2019/346,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic ofSerbia",2019/FDU/01 Human Resources,8010.02,2019,Human Resources,Field Deployment Unit
2019/357,FDU,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic ofSerbia",2020/FDU/01/Human Resources/Light Technical Technical Equipment,7188.26,2019,Technical Equipment & Human Resources,Field Deployment Unit
2018/100,ORD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2,11070 Belgrade,Republic of Serbia",2018/ORD/01 Human Resources,8562.14,2018,Human Resources,Operational Response Division
2018/123,ORD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2,11070 Belgrade,Republic of Serbia",2018/ORD/01 Human Resources,8562.14,2018,Human Resources,Operational Response Division
2018/151,ORD,Serbia,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2,11070 Belgrade,Republic of Serbia",2018/ORD/01 Human Resources,8562.14,2018,Human Resources,Operational Response Division
