grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2022/195,DMD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",146702.29,2022,Human Resources,Deployment Management Division
2022/231,DMD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd. Sofia 1202, BULGARIA",2022/DMD/01 Human resources and Light technical equipment,135924,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/239,DMD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",279153.5,2022,Human Resources,Deployment Management Division
2022/261,ECRET,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"48 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2022/ECRET/01,2866,2022,European Centre for Returns,European Centre for Returns
2022/308,CGS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",MOA Black Sea 2022,503734,2022,Black Sea 2022,Coast Guard Sector
2022/341,DMD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2022/DMD/01 Human resources and Light technical equipment,342052,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/364,ECRET,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 “6-ti Septemvri” str. Sofia 1000, BULGARIA",2022/ECRET/01,1958,2022,European Centre for Returns,European Centre for Returns
2022/367,FOU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2022/FOU/01/Heavy Technical Equipment,509727,2022,Technical Equipment,Field Operations Unit
2022/374,ECRET,Bulgaria,Bulgarian Ministry of Interior,"48 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2022/ECRET/01,5459,2022,European Centre for Returns,European Centre for Returns
2022/385,FOU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2022/FOU/01/Heavy Technical Equipment,30035,2022,Technical Equipment,Field Operations Unit
2022/394,CGS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd. Sofia 1202, BULGARIA",MMO Black Sea 2022,8822,2022,Black Sea 2022,Coast Guard Sector
2022/409,FOU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 “6-ti Septemvri” str. Sofia 1000, Bulgaria",2022/FOU/01/Heavy Technical Equipment,692087,2022,Technical Equipment,Field Operations Unit
2021/33,FDU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 â€œ6-ti Septemvriâ€ str. Sofia 1000, BULGARIA",2021/FDU/01 Human Resources and light technical equipment,457110,2021,Technical Equipment & Human Resources,Field Deployment Unit
