grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/183,LES,Portugal,Maritime Analysis and Operations Centre (Narcotics) – MAOC(N),"Avda. Infante Don Henrique, Lisbon, Portugal",2024/LES/01,34561,2024,Law Enforcement Sector,Law Enforcement Sector
2023/137,LES,Multi-lateral,Maritime Analysis and Operations Centre (Narcotics) – MAOC(N),NA,OP. AZUL 2023,48096.2,2023,AZUL 2023,Law Enforcement Sector
2022/106,LES,Portugal,Maritime Analysis and Operations Centre (Narcotics) – MAOC(N),"Avda. Infante Don Henrique Lisbon, Portugal",Operation AZUL 2022,48096.2,2022,AZUL 2022,Law Enforcement Sector
2022/216,LES,Belgium,FOD Financiën,"Koning Albert-II-laan 33, 1030 Brussel, Belgium",Operation White Sea II,45360,2022,White Sea II,Law Enforcement Sector
