grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2022/356,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2022,14877.28,2022,Other joint operations,Deployment Management Division
2022/401,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Joint Operations Moldova 2022,113400,2022,Other joint operations,Deployment Management Division
2021/202,FDU,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Multipurpose Operational Activities LAND (MOA - LAND) and Multipurpose Operational Activities AIR (MOA - AIR),17720.27,2021,Multipurpose Operational Activities (Air),Field Deployment Unit
2021/239,FDU,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",Multipurpose Operational Activities LAND (MOA - LAND) and Multipurpose Operational Activities AIR (MOA - AIR),17512.69,2021,Multipurpose Operational Activities (Air),Field Deployment Unit
2021/336,DMD,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059","JO Focal Points Land, Air; FOA Land",50691.25,2021,Focal Points (Land),Deployment Management Division
2019/86,FDU,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2019/FDU/01 Human Resources,28022.23,2019,Human Resources,Field Deployment Unit
2019/107,FDU,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2019/FDU/01 Human Resources,6205.78,2019,Human Resources,Field Deployment Unit
2019/128,FDU,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2019/FDU/01 Human Resources,20739.81,2019,Human Resources,Field Deployment Unit
2019/184,FDU,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2019/FDU/01 Human Resources,66853.6,2019,Human Resources,Field Deployment Unit
2019/185,FDU,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2019/FDU/01 Human Resources,66521.9,2019,Human Resources,Field Deployment Unit
2019/186,FDU,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2019/FDU/01 Human Resources,40495.22,2019,Human Resources,Field Deployment Unit
2019/212,FDU,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2019/FDU/01 Human Resources,34812.45,2019,Human Resources,Field Deployment Unit
2019/348,FDU,Moldova,Border Police,"Moldova, Chisinau, Petricani Street 19, MD-2059",2019/FDU/01 Human Resources,6963.56,2019,Human Resources,Field Deployment Unit
