grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2023/288,ECRET,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2023/ECRET/01,11222,2023,European Centre for Returns,European Centre for Returns
2023/413,ECRET,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2023/ECRET/01,5613,2023,European Centre for Returns,European Centre for Returns
2023/416,DMD,Czech Republic,Czech Ministry of Interior,"Nad Stolou 3, 170 34 Prague 7, Czech Republic",2023/DMD/01 Human resources and Light technical equipment,16630,2023,Technical Equipment & Human Resources,Deployment Management Division
2022/33,DMD,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2022/DMD/01 Human resources and Light technical equipment,1792044,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/94,ECRET,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2022/ECRET/01,1316,2022,European Centre for Returns,European Centre for Returns
2022/148,DMD,Czech Republic,Police of the Czech Republic,"Strojnická 27, 170 89 Prague, Czech Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",14962.34,2022,Human Resources,Deployment Management Division
2022/164,DMD,Czech Republic,Police of the Czech Republic,"Strojnická 27, 170 89 Prague, Czech Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",299246.8,2022,Human Resources,Deployment Management Division
2022/241,DMD,Czech Republic,Police of the Czech Republic,"Strojnická 27, 170 89 Prague, Czech Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",520390.19,2022,Human Resources,Deployment Management Division
2022/246,ECRET,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2022/ECRET/01,7088.18,2022,European Centre for Returns,European Centre for Returns
2022/380,ECRET,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2022/ECRET/01,17218,2022,European Centre for Returns,European Centre for Returns
2021/25,ECRET,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2021/ECRet/01,5011,2021,European Centre for Returns,European Centre for Returns
2021/41,FSC,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2021/FSC/01,48022,2021,2021/FSC/01,Frontex Situation Centre
2021/43,FDU,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2021/FDU/01 Human Resources and light technical equipment,1588326,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/167,TF Deploy,Czech Republic,"International Police Cooperation Directorate, Police of the Czech Republic","Strojnická 27, 170 89 Prague, Czech Republic","Support in the development of human  resources to secure Member States’  contributions to the standing corps, in  relation to category 1 of the standing  corps",14200.01,2021,Human Resources,Task Force Deployment Management
2021/177,ECRET,Czech Republic,Czech Ministry of Interior,"Nad Stolou 3, 170 34 Prague 7, Czech Republic",2021/ECRet/01,20311,2021,European Centre for Returns,European Centre for Returns
2021/241,DMD,Czech Republic,Police of the Czech Republic,"StrojnickÃ¡ 27, 170 89 Prague, Czech Republic","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",198800.16,2021,Human Resources,Deployment Management Division
2021/284,DMD,Czech Republic,Police of the Czech Republic,"StrojnickÃ¡ 27, 170 89 Prague, Czech Republic","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",504384.4,2021,Human Resources,Deployment Management Division
2021/342,ECRET,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2021/ECRet/01,2420,2021,European Centre for Returns,European Centre for Returns
2021/435,ECRET,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2021/ECRet/01,1286,2021,European Centre for Returns,European Centre for Returns
2020/40,FDU,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2020/FDU/01/Human Resources/Light Technical Technical Equipment,3392821,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/82,FSC,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2020/FSC/GA FSC FIMO Deployment,36936,2020,FIMO Deployment,Frontex Situation Centre
2020/305,TF Deploy,Czech Republic,Police of the Czech Republic,"StrojnickÃ¡ 27, 170 89 Prague, Czech Republic",Financial Support Cat.2,198113,2020,Support Cat.2,Task Force Deployment Management
2020/331a),ECRET,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2020/ECRet/01,36105,2020,European Centre for Returns,European Centre for Returns
2019/7,ECRET,Czech Republic,Czech Ministry of Interior,"Nad Stolou 3, 170 34 Prague 7, Czech Republic",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,43788,2019,FOA,European Centre for Returns
2019/45,FDU,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2019/FDU/01 Human Resources,2885602.01,2019,Human Resources,Field Deployment Unit
2019/98,ECRET,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,12322,2019,FOA,European Centre for Returns
2018/23,ORD,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89Praha 7, Czech Republic",2018/ORD/01 Human Resources,2233850,2018,Human Resources,Operational Response Division
2018/103,FSC,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89Praha 7, Czech Republic",2018/FSC/GA FSC FIMO Deployment,7303,2018,FIMO Deployment,Frontex Situation Centre
2018/214,ECRET,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89Praha 7, Czech Republic",2018/ECRet/01,8361,2018,European Centre for Returns,European Centre for Returns
2018/361,PRU,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89Praha 7, Czech Republic",2018/PRU/07 Rapid Border Intervention Exercise 2018,16928,2018,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2018/390,ECRET,Czech Republic,Czech Ministry of Interior,"Nad Stolou 3, 170 34Prague 7, Czech Republic",2018/ECRet/01 Return & Pre-return activities,7424,2018,European Centre for Returns,European Centre for Returns
2017/10,ABS,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7,Czech Republic",2017/ABS/03 Focal Points 2017 Air,7394,2017,Focal Points,Air Border Sector
