grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/167,DMD,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1150724.52,2024,Human Resources,Deployment Management Division
2024/168,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1210534.36,2024,Human Resources,Deployment Management Division
2024/169,DMD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",2494506.07,2024,Human Resources,Deployment Management Division
2024/174,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1404972.66,2024,Human Resources,Deployment Management Division
2024/175,DMD,Cyprus,"Cyprus Police, Aliens and Immigration Unit","Antistratigou Evangelou Floraki Street Anglantjia, 1478 Nicosia, 1478 Cyprus","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",215606.86,2024,Human Resources,Deployment Management Division
2024/182,DMD,Iceland,Ministry of Justice Iceland,"Sölvhólsgata 7, 101 Reykjavík Iceland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",102520.6,2024,Human Resources,Deployment Management Division
2024/193,OSD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",553857.6,2024,Human Resources,NA
2024/197,OSD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",6290679.75,2024,Human Resources,NA
2024/224,OSD,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",810219.17,2024,Human Resources,NA
2024/227,OSD,Switzerland,Customs/Border Guard,"Taubenstrasse 16, CH-3003 Bern, Switzerland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",620014.46,2024,Human Resources,NA
2024/236,OSD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",509901.09,2024,Human Resources,NA
2024/237,OSD,Austria,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1485256.72,2024,Human Resources,NA
2024/240,OSD,Slovakia,Bureau of Border and Alien Police,"Ružinovská 1/B  812 72 Bratislava, Slovak Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",268252.38,2024,Human Resources,NA
2024/241,OSD,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",413725.47000000003,2024,Human Resources,NA
2024/242,OSD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",944184.38,2024,Human Resources,NA
2024/243,OSD,Slovenia,Slovenian Ministry of Interior,"Štefanova 02, 1000 Ljubljana, Slovenia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",463256.43,2024,Human Resources,NA
2024/244,OSD,Hungary,Hungarian National Police,"1139 Budapest, Teve utca. 4-6. Magyarország, Hungary","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1640885.94,2024,Human Resources,NA
2024/245,OSD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",960597.75,2024,Human Resources,NA
2024/246,OSD,Spain,General Directorate for International Relations and Immigration,"Calle Amador de los Ríos nº 8, postal code 28071 Madrid – Spain.","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",710769.23,2024,Human Resources,NA
2024/249,OSD,Norway,National Police Directorate,"P.O.Box. 2090 Vika, 0125 OSLO, Norway","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",575812.63,2024,Human Resources,NA
2024/250,OSD,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",287958.19,2024,Human Resources,NA
2024/253,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",Support in the development of human resources to secure Member States,2684944.53,2024,Human Resources,NA
2024/254,OSD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1255942.3900000001,2024,Human Resources,NA
2024/255,OSD,Croatia,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",388224.07,2024,Human Resources,NA
2024/256,OSD,Belgium,Federal Police,Koningsstraat 202A - 1000 Brussels,"Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",281685.83999999997,2024,Human Resources,NA
2024/257,OSD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1086453.28,2024,Human Resources,NA
2024/258,OSD,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1552994.7399999998,2024,Human Resources,NA
2024/259,OSD,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1237200.31,2024,Human Resources,NA
2024/260,OSD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1353221.96,2024,Human Resources,NA
2024/261,OSD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1796346.06,2024,Human Resources,NA
2024/263,OSD,Iceland,Ministry of Justice Iceland,"Sölvhólsgata 7, 101 Reykjavík Iceland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",75707.18999999999,2024,Human Resources,NA
2024/264,OSD,Netherlands,Royal Marechaussee,"NFPOC (The Netherlands)
Camp New Amsterdam
Dolderseweg 34
3712 BR Huis Ter Heide 
The Netherlands","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1775267.98,2024,Human Resources,NA
2024/266,OSD,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",5611804.78,2024,Human Resources,NA
2024/267,OSD,Cyprus,"Cyprus Police, Aliens and Immigration Unit","Antistratigou Evangelou Floraki Street Anglantjia, 1478 Nicosia, 1478 Cyprus","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",46915.03,2024,Human Resources,NA
2024/269,OSD,Luxembourg,Police Grand Ducale,"Direction des Relations Internationales / DRI-CEC, B.P. 1007
L-2957, Luxembourg","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",190054.49,2024,Human Resources,NA
2024/275,OSD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",897239.51,2024,Human Resources,NA
2024/291,OSD,Portugal,Sistema de Segurança Interna - Homeland Security System,"Av. Defensores de Chaves, 6, 1049-063 Lisboa","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",2274613.98,2024,Human Resources,NA
2024/350,OSD,Portugal,Sistema de Segurança Interna - Homeland Security System,"Av. Defensores de Chaves, 6, 1049-063 Lisboa","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",901628.75,2024,Human Resources,NA
2023/42,DMD,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",39091.25,2023,Human Resources,Deployment Management Division
2023/45,DMD,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",31767.31,2023,Human Resources,Deployment Management Division
2023/53,DMD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",31222.11,2023,Human Resources,Deployment Management Division
