grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2022/316,ECRET,Norway,National Police Immigration Service,"Økern veien 11-13, Postbox 8102 Dep. 0032 Oslo, Norway",2022/ECRET/01,9239,2022,European Centre for Returns,European Centre for Returns
2021/19,ECRET,Norway,National Police Immigration Service,"Ã˜kern veien 11-13, Postbox 2095 Vika 0125 Oslo, Norway",2021/ECRet/01,58779,2021,European Centre for Returns,European Centre for Returns
2021/48,FDU,Norway,National Police Directorate,"Fr. Nansensvei 14-16, NO 0369 Oslo â€“ Norway",2021/FDU/01 Human Resources and light technical equipment,403009,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/65,ECRET,Norway,National Police Immigration Service,"Ã˜kern veien 11-13, Postbox 2095 Vika 0125 Oslo, Norway",2021/ECRet/01,177711.8,2021,European Centre for Returns,European Centre for Returns
2021/262,DMD,Norway,National Police Directorate,"Fr. Nansensvei 14-16, NO 0369 Oslo â€“ Norway","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",276500.21,2021,Human Resources,Deployment Management Division
2021/275,FDU,Norway,National Police Directorate,"Fr. Nansensvei 14-16, NO 0369 Oslo â€“ Norway","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",299371,2021,Human Resources,Field Deployment Unit
2021/300,DMD,Norway,National Police Directorate,"Fr. Nansensvei 14-16, NO 0369 Oslo â€“ Norway","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",219225.18,2021,Human Resources,Deployment Management Division
2021/383,ECRET,Norway,National Police Immigration Service,"Ã˜kern veien 11-13, Postbox 2095 Vika 0125 Oslo, Norway",2021/ECRet/01,43360,2021,European Centre for Returns,European Centre for Returns
2020/29,FDU,Norway,National Police Directorate,"Fr. Nansensvei 14-16, NO 0369 Oslo â€“ Norway",2020/FDU/01/Human Resources/Light Technical Technical Equipment,380832,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/76,ECRET,Norway,National Police Immigration Service,"Ã˜kern veien 11-13, Postbox 8102 Dep. 0032 Oslo, Norway",2020/ECRet/01-FOA-R 2019 including return and pre-return related activities,192136.46,2020,FOA,European Centre for Returns
2020/86,FSC,Norway,National Police Directorate,"Fr. Nansensvei 14-16, NO 0369 Oslo â€“ Norway",2020/FSC/GA FSC FIMO Deployment,30361,2020,FIMO Deployment,Frontex Situation Centre
2020/170,FDU,Norway,National Police Immigration Service,"Ã˜kern veien 11-13, Postbox 8102 Dep. 0032 Oslo, Norway",2020/FDU/01/Human Resources/Light Technical Equipment,141680,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/176,FDU,Norway,National Police Immigration Service,"Ã˜kern veien 11-13, Postbox 2095 Vika 0125 Oslo, Norway",2020/FDU/01/Human Resources/Light Technical Equipment,38500,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/179,ECRET,Norway,National Police Immigration Service,"Ã˜kern veien 11-13, Postbox 8102 Dep. 0032 Oslo, Norway",2020/ECRet/01,95534.62,2020,European Centre for Returns,European Centre for Returns
2020/182,FDU,Norway,National Police Immigration Service,"Ã˜kern veien 11-13, Postbox 2095 Vika 0125 Oslo, Norway",2020/FDU/01/Human Resources/Light Technical Equipment,155012,2020,Technical Equipment & Human Resources,Field Deployment Unit
